偎	亻田一󰀖
眯	目米󰁶
术	木丶󰀦
圯	土巳󰁀
蔚	艹尸二寸
蟛	虫士口彡
仳	亻󰁴匕󰁀
昶	丶𠃌󰀩日
结	纟士口󰀝
吝	文口󰀘
兖	六厶儿󰀅
紧	〢又ㄠ小
擦	扌宀󰁯小
遁	⺁十目辶
货	亻ヒ贝󰁧
兢	古儿古儿
恁	亻丿士心
媲	女丿囗匕
萑	艹亻󰁷󰀘
峒	山冂一口
媳	女丿目心
冖	冖丶乛
俾	亻白丿十
渲	氵宀一一
嫖	女覀二小
穰	禾亠口󰀔
缓	纟爫一又
具	󰀣八󰁧
鼓	士口䒑又
噶	口艹日󰄃
隶	󰁬氺󰀦
嫫	女艹日大
嫱	女十䒑口
罨	罒大日乚
轨	车九󰁀
镯	钅罒勹虫
哂	口西󰀝
晶	日日日󰀘
嬖	尸口立女
嬛	女罒一󰀔
弓	弓󰁈一ㄅ
奂	⺈ㄇ大󰁧
楂	木木日一
祂	礻󰁶也󰁀
拶	扌巛夕󰁶
菝	艹扌丶
铑	钅土丿匕
浸	氵彐冖又
畿	ㄠㄠ戈田
桊	䒑大木󰁧
长	丿七󰂃󰀦
谒	讠日勹󰄃
瓑	王厂禾止
存	丨子󰀌
骰	󰀾月几又
孟	子皿󰀘
孥	女又子󰀘
项	工丆贝󰁶
匚	匚一󰄃
鲷	󰁢󰀞󰀼口
蜒	虫丿止廴
宄	宀九󰀅
氨	󰅎⺄宀女
钯	钅巴󰁀
谨	讠廿口主
宋	宀木󰁧
完	宀二儿󰀅
儆	亻艹勹夂
宗	宀二小󰁧
定	宀一󰁾󰁧
宝	宀王丶󰁧
当	⺌彐󰀘
体	亻木一󰀝
丸	九丶󰀦
鲧	󰁢󰀞丿小
褂	衤󰁧土卜
常	⺌冖口丨
沧	氵人⺋󰁀
劝	又力ノ
审	宀日丨󰀬
呷	口甲󰀢
曛	日丿一灬
撑	扌⺌冖手
乔	丿大󰀯󰀬
四	四丨󰁈一
蒿	艹󰁸冂口
害	宀三丨口
鑫	金釒金󰀘
钿	钅田󰀝
蟒	虫艹大廾
寨	宀󰀀八木
柒	氵七木󰁧
钶	钅丁口󰀝
诨	讠冖车󰀢
铯	钅⺈巴󰁀
且	󰀐一󰀌
瓯	匚乂一丶
寝	宀丬彐又
寞	宀艹日大
寰	宀罒一󰀔
拷	扌土丿ㄅ
对	又寸󰁶
埒	土爫寸󰁶
尉	尸二小寸
桧	木人二厶
钦	钅⺈人󰁶
观	又ㄇ󰁜󰁀
笞	⺮厶口󰀘
愁	禾火心󰁧
咦	口一弓人
尛	小小小󰁧
粕	米白󰀝
尧	弋丿一儿
磊	石石石󰀘
脉	月丶𠃌󰀩
到	一厶土刂
右	口󰀘
铿	钅〢又土
荑	艹一弓人
岷	山󰁃󰁐弋
蓿	艹宀亻日
鞒	廿󰀜丿󰀯
谷	八人口󰀘
瞒	目艹一人
居	尸古󰀌
廛	广日土土
潸	氵木木月
绛	纟夂󰀂丨
展	尸󰁺󰀖󰀦
黛	亻󰀁丶灬
屡	尸米女󰀌
履	尸彳𠂉夂
纨	纟九丶󰁶
垒	厶厶厶土
刃	刀丶󰀦
亨	󰁸了󰀬
筵	⺮丿止廴
谧	讠心丿皿
簧	⺮󰁺由八
概	木彐厶󰁜
如	女口󰀝
瘿	疒贝贝女
沸	氵弓󰀯󰀢
挝	扌寸辶󰁶
匝	匚冂丨󰀵
犰	犭ノ九󰁀
寒	宀󰀀八󰁦
阿	阝丁口󰀝
酉	西一󰀌
诒	讠厶口󰀝
岔	八刀山󰀬
挑	扌儿󰀪󰁶
光	⺌一儿󰀅
请	讠主月󰀝
岣	山勹口󰀝
岬	山甲󰀢
嗳	口爫冖又
汨	氵日󰀝
缛	纟厂二寸
硒	石西󰀝
弛	弓也󰁀
峤	山丿大󰀯
跄	口止人⺋
峦	亠󰁗山󰀬
瀚	氵十日羽
通	󰁻用辶󰀵
崇	山宀二小
唇	厂二󰀖口
腰	月覀女󰀝
琦	王大丁口
萦	艹冖ㄠ小
幸	土䒑十󰀬
祛	礻󰁶土厶
崧	山木八厶
崮	山囗古󰀘
媞	女曰一󰁾
搦	扌弓冫冫
嵋	山󰁅目󰀝
做	亻古夂󰁶
炉	火丶尸ノ
肉	冂人人󰀦
叶	口十󰀢
悉	丿米心󰁧
嵬	山白󰁜厶
揶	扌耳阝󰀢
靛	主月宀󰁾
坛	土二厶󰁶
邰	厶口阝󰀢
鸶	󰁲󰁲一一
嶝	山癶一䒑
北	丬匕󰁀
偷	亻人一刂
濯	氵羽亻󰁷
巅	山十󰀣贝
俯	亻广亻寸
陛	阝󰁴匕土
工	工工工工
喁	口日冂丶
攫	扌目目又
丶	丶丶〇〇
赂	贝夂口󰀝
枉	木王󰀝
忿	八刀心󰁧
已	已已已已
布	冂丨󰀬
帅	リ冂丨󰀢
哭	口口犬󰁧
栾	亠󰁗木󰁧
砾	石丿󰄃小
坦	土日一󰀝
侧	亻贝刂󰀢
场	土ㄋ󰁤ノ
痛	疒󰁻用󰀵
帚	彐冖冂丨
筒	⺮冂一口
睦	目土八土
憝	󰁸孑攵心
震	󰀙厂二󰀖
帧	冂丨󰀥贝
帮	三丿阝丨
蚵	虫丁口󰀝
蟮	虫丷󰅆口
矮	𠂉大禾女
幔	冂丨日又
幢	冂丨立土
鲂	󰁢󰀞方ノ
貂	豸刀口󰀝
瑁	王曰目󰀝
摁	扌囗大心
冇	冂󰀅
仰	亻󰁚卩󰀢
呛	口人⺋󰁀
瑛	王艹ㄇ大
徊	彳囗口󰀝
骒	󰀊󰀞日木
羊	丷󰅆󰀬
窒	宀八一土
扑	扌卜󰁶
蟾	虫⺈厂言
矾	石几丶󰁶
悛	忄厶八夂
佧	亻上卜󰁶
垦	彐󰀖土󰀘
捷	扌一󰁬󰁾
引	弓丨󰀢
轧	车乚󰁀
酝	西一二厶
慝	匚艹心
稞	禾日木󰁶
弘	弓厶󰁶
闵	门文󰀦
溶	氵宀八口
纶	纟人匕󰁀
弦	弓亠ㄠ󰁶
影	曰󰁸小彡
赐	贝日勹󰁤
弱	弓冫弓冫
萁	艹艹三八
刀	刀𠃌丿
搁	扌门夂口
录	󰁭氺󰁧
难	又亻󰁷󰀝
嗵	口󰁻月辶
玷	王󰀥口󰀝
获	艹犭󰁥犬
俊	亻厶八夂
暾	日󰁸孑攵
栉	木艹ㄗ󰀢
蹿	口止宀丨
嫒	女爫冖又
我	丿扌󰅅丶
彤	󰀼亠彡ノ
僬	亻亻󰁷灬
亮	󰁸冖几󰀅
园	囗二儿󰁫
弧	弓⺁厶󰂃
伧	亻人⺋󰁀
神	礻󰁶日丨
曦	日丷王丶
径	彳ス工󰀝
襞	尸口立󰀔
阵	阝车󰀢
蹶	口止厂人
瘵	疒󰁯二小
昵	日尸匕󰁀
徙	彳止󰁾󰁶
倬	亻󰀥早󰀢
匀	勹冫󰀌
徨	彳白王󰀝
微	彳山一夂
徵	彳山一夂
铁	钅󰅎人󰁶
谂	讠人丶心
并	䒑廾󰀬
笊	⺮⺁丨󰂃
拉	扌立󰀝
勉	⺈口󰁜力
苑	艹夕⺋󰀅
忏	忄丿十󰀢
虾	虫一卜󰁶
百	丆日󰀘
渥	氵尸一土
吁	口一󰀛󰀢
亿	亻乙󰁀
忑	一卜心󰁧
圭	土土󰀘
鳟	󰁢󰀞丷寸
眭	目土土󰀝
凝	冫匕𠂉󰁾
霭	󰀙讠日󰄃
继	纟米󰄃󰁀
忖	忄寸󰁶
黧	禾勹丿灬
志	士心󰁧
遭	一ㄇ󰁺辶
恭	󰁺八⺗󰁧
灭	一火󰀦
鳏	󰁢󰀞罒󰀫
忙	忄亠󰄃󰁀
忠	口丨心󰁧
忡	忄口丨󰀢
求	一氺丶󰀦
璁	王丿囗心
快	忄ユ人󰁶
荭	艹纟工󰀘
凛	冫亠囗小
央	ㄇ大󰀦
态	大丶心󰁧
抉	扌ユ人󰁶
潺	氵尸子子
芑	艹己󰀅
剐	口冂人刂
怙	忄古󰀝
洽	氵人一口
呤	口人丶󰁻
品	口口口󰀘
飞	⺄󰁦󰀦
肝	月干󰀢
炝	火人⺋󰁀
社	礻󰁶土󰀝
座	广人人土
产	立丿󰀏
恽	忄冖车󰀢
拱	扌󰁺八󰁶
花	艹亻ヒ󰀅
剂	文󰀯刂󰀢
肭	月冂人󰁶
炭	山火󰁧
悭	忄〢又土
匐	勹一口田
悄	忄⺌月󰀝
酱	丬夕西一
共	󰁺八󰁧
债	亻主贝󰁶
骊	󰀊󰀞一丶
赭	土󰁖土日
惚	忄勹󰁤心
壮	丬士󰀝
卉	十廾󰀬
草	艹早󰀬
崾	山覀女󰀝
全	人王󰀘
慑	忄耳又又
妒	女丶尸ノ
堃	方方土󰀘
吐	口土󰀝
哼	口󰁸了󰀢
馒	⺈󰁐日又
层	尸二厶󰀦
礞	石艹冖󰀓
例	亻一夕刂
肽	月大丶󰁶
炽	火口八󰁶
冱	冫一󰅂一
愦	忄口丨贝
嗔	口十󰀣八
歌	丁口丁人
家	宀一󰀓󰁧
掾	扌彑󰀓󰁶
怛	忄日一󰀝
吮	口厶儿󰁀
垮	土大二ㄅ
哗	口亻ヒ十
猁	犭ノ禾刂
软	车⺈人󰁶
瘗	疒一丷土
灿	火山󰀢
尚	⺌冂口󰀘
佯	亻丷󰅆󰀢
丢	丿土厶󰁧
按	扌宀女󰀝
盔	火皿󰀘
讶	讠󰀂亅丿
蛔	虫囗口󰀝
秒	禾小丿ノ
使	亻一口乂
姒	女󰁐丶人
惰	忄工月
胰	月一弓人
轿	车丿大󰀯
齿	止人凵󰀬
殂	一夕󰀐一
十	十一丨
倚	亻大丁口
痦	疒五口󰀌
埽	土彐冖丨
伲	亻尸匕󰁀
丧	十䒑󰀖󰁧
戴	十戈田八
廴	廴󰁌󰂃
逭	宀丨󰁃辶
郭	󰁸孑阝󰀢
岜	山巴󰀅
菁	艹主月󰀘
倭	亻禾女󰀝
蝮	虫𠂉日夂
羯	䒑󰀠日󰄃
釉	丿米由󰀝
保	亻口木󰁶
侯	亻ユ𠂉大
樊	木乂乂大
些	止匕二󰀘
錵	釒艹亻ヒ
茵	艹囗大󰁧
唰	口尸冂刂
凑	冫三人大
咔	口上卜󰁶
曰	日丨󰁈一
懑	氵艹一心
郝	土󰁖阝󰀢
褒	亠亻口󰀔
翠	羽亠人十
耽	耳冖󰁜󰁀
增	土丷󰀺日
惝	忄⺌冂口
瘦	疒臼丨又
胝	月󰁚󰀁丶
夂	夂丿乛󰂃
困	囗木󰀦
尬	乚人󰀯
新	立木斤󰀢
六	六丶一丶
也	也𠃌丨乚
忧	忄乚丶
湟	氵白王󰀝
据	扌尸古󰀝
呔	口大丶󰁶
魂	二厶白厶
琰	王火火󰁶
蕨	艹厂䒑人
孱	尸子孑子
徼	彳白方夂
实	宀󰁦大󰁧
砦	止匕石󰀘
蹟	口止貝
遥	爫󰅎山辶
腭	月口口ㄅ
眠	目󰁃󰁐弋
钰	钅王丶󰁶
刑	一廾刂󰀢
撰	扌巳巳八
膑	月宀󰅍八
醑	西一乛月
嵇	禾乚山
瑰	王白󰁜厶
樾	木土󰁾丶
喉	口亻ユ大
恵	一由心󰁧
兽	丷田一口
迷	米辶󰀦
鹊	󰁺日勹一
腽	月日皿󰀝
酽	西一一厂
亟	了口又一
搔	扌又丶虫
溟	氵冖曰六
傥	亻⺌冖儿
晕	日冖车󰀬
嘿	口󰀹土灬
允	厶儿󰀅
卑	白丿十󰀬
岂	山己󰀅
金	金金金金
咿	口亻󰁬丿
逐	一󰀓辶󰀦
耐	丆冂〢寸
癞	疒一口贝
桑	又又又木
韦	二𠃌丨󰀵
菱	艹土八夂
蚕	一大虫󰁧
摞	扌田ㄠ小
哑	口一󰅊一
冁	丷曰十󰀖
摧	扌山亻󰁷
颞	耳又又贝
弟	丷弓丨丿
菔	艹月卩又
撞	扌立日土
冽	冫一夕刂
荡	艹氵ㄋ󰁤
邵	刀口阝󰀢
剿	巛日木刂
陉	阝ス工󰀝
越	土󰁾一丶
惭	忄车斤󰀢
梦	木木夕󰁧
胭	月囗大󰁶
髂	󰀾月宀口
勿	勹󰁤󰀏
铕	钅月󰀝
振	扌厂二󰀖
只	口八󰁧
锕	钅阝丁口
塬	土厂白小
遐	󰁃丨二辶
噙	口人亠厶
黟	󰀹土灬夕
攥	扌⺮目小
堑	车斤土󰀘
僭	亻󰀂󰁜日
己	己󰁈一乚
丙	一冂人󰀦
炔	火ユ人󰁶
燥	火口口木
叹	口又󰁶
倔	亻尸凵山
比	󰁴匕󰁀
敦	󰁸孑攵󰁶
碾	石尸󰁺󰀖
能	厶月匕匕
都	土丿日阝
嘉	士口䒑〇
昕	日斤󰀢
扁	丶尸冂艹
剁	几木刂󰀢
阉	门大日乚
确	石⺈用
苁	艹人人󰁧
伟	亻二𠃌丨
衮	六厶󰀔󰁧
妾	立女󰀘
斤	斤丿丿丨
斥	斤丶󰀦
斫	石斤󰀢
喋	口廿󰄃木
飑	几乂勹巳
旦	日一󰀘
肱	月厶󰁶
炱	厶口火󰁧
壑	󰀥冖一土
蛞	虫丿古󰀝
缟	纟󰁸冂口
唢	口⺌贝󰁶
邈	豸白儿辶
裉	衤󰁧彐󰀖
磉	石又又木
棉	木白冂丨
傈	亻覀木󰁶
囖	口⺮罒󰁷
春	三人日󰀘
衾	人丶乛󰀔
桶	木󰁻用
典	ㄇ󰁺八󰁧
顾	厂⺋丆贝
是	日一󰁾󰁧
噢	口丿ㄇ大
顶	丁丆贝󰁶
塾	󰁸孑九土
寂	宀上小又
冒	曰目󰀘
晌	日丿冂口
厂	厂一丿
佟	亻夂󰁦󰁶
艽	艹九󰀅
剽	覀二小刂
款	士二小人
郐	人二厶阝
酥	西一禾󰁶
囹	囗人丶󰁻
虱	⺄丿虫󰀦
昱	日立󰀘
暄	日宀一一
碑	石白丿十
盱	目一󰀛󰀢
颉	士口丆贝
囱	丿囗夕󰀦
碉	石󰀼土口
姘	女䒑廾󰀢
墉	土广󰁬丨
忝	一大⺗󰁧
蚱	虫𠂉丨二
侣	亻口口󰀝
柢	木󰁚󰀁丶
矢	𠂉大󰁧
焕	火⺈ㄇ大
刂	刂丨亅
俣	亻口一大
钕	钅女󰀝
狁	犭ノ厶儿
朐	月勹口󰀝
嗱	口人一手
屐	尸彳十又
旱	日干󰀬
朦	月艹冖󰀓
芽	艹󰀂亅丿
喵	口艹田󰀝
抽	扌由󰀝
思	田心󰁧
逝	扌斤辶󰀵
辟	尸口辛󰀢
睑	目人一一
村	木寸󰁶
葱	艹勹󰁤心
李	木子󰀘
棂	木彐火󰁶
呱	口⺁厶󰂃
在	丨土󰀌
祉	礻󰁶止󰀝
杖	木󰂃󰁶
凼	水凵󰀵
杞	木己󰁀
晤	日五口󰀝
愈	人一月心
奉	三人󰀟󰀬
铱	钅亠󰀔󰁶
杲	日木󰁧
婵	女丷曰十
韶	立日刀口
夼	大川󰀬
劁	亻󰁷灬刂
析	木斤󰀢
犁	禾刂󰅎丨
祀	礻󰁶巳󰁀
局	尸𠃌口󰀌
妮	女尸匕󰁀
鄢	一止一阝
相	木目󰀝
翟	羽亻󰁷󰀘
俟	亻厶𠂉大
堞	土廿󰄃木
觜	止匕⺈用
匕	匕丿乚
胥	乛󰁾月󰀘
枝	木十又󰁶
枞	木人人󰁶
臭	丿目犬󰁧
嗓	口又又木
枧	木ㄇ󰁜󰁀
熊	厶月匕灬
腈	月主月󰀝
馘	䒑丿目󰀞
柠	木宀丁󰀢
徒	彳土󰁾󰁶
司	𠃌一口󰀌
先	丿土儿󰀅
慈	䒑ㄠㄠ心
轭	车厂⺋󰁀
函	了󰀪凵󰀵
螽	夂󰁦虫虫
禾	禾禾禾禾
潭	氵覀早󰀢
馀	⺈󰁐人木
受	爫冖又󰁧
柜	木匚󰁃󰀝
肇	丶尸夂󰀟
柞	木𠂉丨二
楮	木土丿日
刭	ス工刂󰀢
赶	土󰁾干󰀵
楦	木宀一一
攵	攵丿一󰂃
辽	了辶󰀵
缒	纟亻󰁃辶
柑	木艹二󰀝
烟	火囗大󰁶
襦	衤󰁧󰀙〢
舭	丿󰁪󰁴匕
惟	忄亻󰁷󰀝
柿	木亠冂丨
饮	⺈󰁐⺈人
睥	目白丿十
瘠	疒󰀪人月
雨	雨一丨丶
栋	木󰀂小󰁶
哨	口⺌月󰀝
忒	弋心丶󰀦
栓	木人王󰀝
靠	丿土口三
刽	人二厶刂
碜	石厶大彡
爽	大乂乂乂
戽	丶尸󰁦十
栖	木西󰀝
栝	木丿古󰀝
遇	日冂丨辶
阳	阝日󰀝
钞	钅小丿ノ
换	扌⺈ㄇ大
莉	艹禾刂󰀬
瘳	疒羽人彡
剥	󰁭氺刂󰀢
江	氵工󰀝
璞	王󰅊一人
矸	石干󰀢
裔	亠󰀔冂口
瞑	目冖曰六
挢	扌丿大󰀯
鞑	廿󰀜大辶
惘	忄冂䒑󰄃
桅	木⺈厂⺋
框	木匚王󰀝
跨	口止大ㄅ
刿	山夕刂󰀢
吓	口一卜󰁶
矬	𠂉大人土
鳄	󰁢󰀞口ㄅ
馁	⺈󰁐爫女
桠	木一󰅊一
手	手丿一亅
悼	忄󰀥早󰀢
净	冫⺈󰁬亅
卮	⺁一⺋󰁫
荮	艹纟寸󰁧
臀	尸󰁺八月
珉	王󰁃󰁐弋
揉	扌󰁻乛木
尊	丷西一寸
桨	丬夕木󰁧
尼	尸匕󰁫
鲟	󰁢󰀞彐寸
缥	纟覀二小
桫	木氵小丿
报	扌卩又󰁶
孽	艹亻󰁃子
触	⺈用虫󰁶
粟	覀米󰁧
宴	宀日女󰀘
漆	氵木人氺
狩	犭ノ宀寸
怯	忄土厶󰁶
梁	氵刀八木
悯	忄门文󰁶
镆	钅艹日大
邕	巛口巴󰀅
濞	氵丿目󰀯
擢	扌羽亻󰁷
俗	亻八人口
恕	女口心󰁧
坷	土丁口󰀝
杷	木巴󰁀
梭	木厶八夂
归	リ彐󰀝
莼	艹纟一乚
掮	扌丶尸月
玮	王二𠃌丨
坭	土尸匕󰁀
汊	氵又丶󰁶
玉	王丶󰀦
崆	山宀八工
届	尸由󰀌
诊	讠人彡ノ
疖	疒ㄗ󰀵
锞	钅日木󰁶
迁	丿十辶󰀵
窦	宀八十大
棚	木月月󰀝
绒	纟戈ノ
攞	扌罒糹󰁷
袷	衤󰁧人口
畎	田犬󰁶
棠	⺌冖口木
盖	丷王皿󰀘
撺	扌宀八丨
森	木木木󰁧
檠	艹勹口木
漩	氵方𠂉󰁾
蜷	虫䒑大⺋
眷	䒑大目󰀘
棵	木日木󰁶
押	扌甲󰀢
棹	木󰀥早󰀢
潆	氵艹冖小
椅	木大丁口
缤	纟宀󰅍八
哮	口土丿子
猫	犭ノ艹田
互	一󰅂一󰀌
贞	󰀥贝󰁧
拼	扌䒑廾󰀢
贯	󰅂十贝󰁧
累	田ㄠ小󰁧
隈	阝田一󰀖
椰	木耳阝󰀢
呃	口厂⺋󰁀
或	戈口󰀞󰀌
铞	钅口冂丨
负	⺈贝󰁧
监	〢𠂉丶皿
戥	日丿主戈
哞	口厶󰅎丨
驮	󰀊󰀞大󰁶
茭	艹亠八乂
楠	木十冂十
冼	冫丿土儿
壬	丿士󰀌
咀	口󰀐一󰀝
楫	木口耳󰀝
汁	氵十󰀢
楷	木󰁴匕白
佗	亻宀匕󰁀
雷	󰀙田󰀘
渣	氵木日一
怼	又寸心󰁧
宀	宀丶丶乛
值	亻十󰀣󰀝
曷	日勹人󰄃
廒	广主󰁡夂
峯	山夂三丨
傀	亻白󰁜厶
矣	厶𠂉大󰁧
磁	石䒑ㄠㄠ
吉	士口󰀘
竽	⺮一󰀛󰀬
裁	十戈亠󰀔
盈	乃又皿󰀘
符	⺮亻寸󰁧
荥	艹冖水󰁧
曈	日立曰土
皑	白山己󰁀
蹒	口止艹人
锃	钅口王󰀝
向	丿冂口󰀌
沽	氵古󰀝
岽	山󰀂小󰁧
榘	𠂉大匚木
肼	月二󰀯󰀢
慧	三丨三心
蹰	口止厂寸
礤	石艹󰁯小
恩	囗大心󰁧
榫	木亻󰁷十
铳	钅亠厶儿
遢	日羽辶󰀌
菖	艹日日󰀘
鲩	󰁢󰀞宀儿
鲽	󰁢󰀞廿木
肿	月口丨󰀢
粽	米宀二小
椠	车斤木󰁧
糟	米一ㄇ日
璋	王立早󰀢
墁	土日罒又
骷	󰀾月古󰀝
霈	󰀙氵一丨
袁	土口󰀔󰁧
颁	八刀丆贝
竦	立一口󰅇
接	扌立女󰀝
镞	钅方𠂉大
蕞	艹日耳又
仉	亻几󰁀
轰	车又又󰁧
朽	木一ㄅ󰁀
妗	女人丶乛
慢	忄日罒又
撼	扌厂一心
槟	木宀󰅍八
衿	衤󰁧人乛
卓	󰀥早󰀬
蝽	虫三人日
厥	厂䒑凵人
邢	一廾阝󰀢
辩	辛讠辛󰀢
章	立早󰀬
辂	车夂口󰀝
睁	目⺈󰁬亅
钼	钅目󰀝
徂	彳󰀐一󰀝
籽	米子󰀝
套	大󰂞󰁧
隘	阝䒑八皿
婷	女󰁸冖丁
啃	口止月󰀝
暑	日土丿日
臣	匚丨󰁃丨
驷	󰀊󰀞四󰀝
翱	白大十羽
状	丬犬󰁶
若	艹口󰀘
杈	木又丶󰁶
拥	扌用󰀢
箦	⺮主贝󰁧
性	忄丿主󰀝
樘	木⺌冖土
尽	尸󰂃󰁦󰁧
伉	亻亠几󰁀
玳	王亻󰀁丶
樟	木立早󰀢
趴	口止八󰁶
谡	讠田八夂
嚼	口爫罒寸
宦	宀匚丨丨
赞	丿土儿贝
骨	󰀾月󰀘
霁	󰀙文󰀯󰀬
樯	木十䒑口
省	小丿目󰀘
迂	一󰀛辶󰀵
樵	木亻󰁷灬
濂	氵广䒑󰁗
柏	木白󰀝
铬	钅夂口󰀝
谯	讠亻󰁷灬
氽	人水󰁧
氯	󰅎⺄󰁭氺
叮	口丁󰀢
稷	禾田八夂
救	一氺丶夂
蝰	虫大土土
恧	丆冂〢心
月	月月月月
警	艹勹口言
猥	犭ノ田󰀖
挥	扌冖车󰀢
旃	方𠂉󰀼亠
政	一止夂󰁶
犸	犭ノ󰀊一
吼	口孑乚󰁀
河	氵丁口󰀝
橹	木󰁢一日
诤	讠⺈󰁬亅
渐	氵车斤󰀢
学	󰀧冖子󰀘
馇	⺈󰁐木一
鉴	〢𠂉丶金
稠	禾󰀼土口
趔	土󰁾一刂
缂	纟廿󰀜󰀢
第	⺮弓丨丿
沈	氵冖󰁜󰁀
檎	木人亠厶
副	一口田刂
柁	木宀匕󰁀
异	巳廾󰀬
琮	王宀二小
误	讠口一大
萼	艹口口ㄅ
制	󰅎冂丨刂
汜	氵巳󰁀
父	八乂󰁧
舶	丿󰁪白󰀝
唑	口人人土
蝓	虫人一刂
鳝	󰁢󰀞䒑口
檬	木艹冖󰀓
沓	水日󰀘
擗	扌尸口辛
呵	口丁口󰀝
选	丿土儿辶
倨	亻尸古󰀝
葵	艹癶一大
醉	西一亠十
暗	日立日󰀝
好	女子󰀝
贿	贝月󰀝
疗	疒了󰀵
啼	口亠丷丨
蔓	艹日罒又
罂	贝贝󰅎山
茧	艹虫󰁧
欠	⺈人󰁧
欢	又⺈人󰁶
凉	冫󰁸小󰁶
欤	一ㄅ󰀞人
涯	氵厂土土
啮	口止人凵
簦	⺮癶一䒑
谦	讠䒑󰁬󰁗
榷	木冖亻󰁷
其	艹三八󰁧
嗑	口土厶皿
赝	厂亻亻贝
办	力八󰀦
洒	氵西󰀝
瘘	疒米女󰀌
嵝	山米女󰀝
正	一止󰀌
澧	氵ㄇ󰁺䒑
懦	忄󰀙丆〢
皇	白王󰀘
隋	阝工月
撵	扌二人车
钵	钅木一󰀝
诶	讠厶𠂉大
馊	⺈󰁐臼又
艉	丿󰁪尸乚
於	方人󰁦󰁶
疼	疒夂󰁦󰀦
赏	⺌冖口贝
笠	⺮立󰀘
纂	⺮目大小
薮	艹米女夂
殆	一夕厶口
殇	一夕𠂉󰁤
鹈	丷弓丨一
婊	女主󰀔󰁶
饷	⺈󰁐丿口
浯	氵五口󰀝
祷	礻󰁶三寸
窟	宀八尸山
冶	冫厶口󰀝
钥	钅月󰀝
殑	一夕古儿
喑	口立日󰀝
斑	王文王󰀝
疑	匕𠂉大󰁾
殒	一夕口贝
谑	讠󰅋七一
呐	口冂人󰁶
民	󰁃󰁐弋󰁫
殡	一夕宀八
钧	钅勹冫󰀝
葭	艹󰁃丨又
叵	匚口󰀌
槊	䒑凵丿木
萜	艹冂丨口
觊	山󰁁ㄇ󰁜
崽	山田心󰁧
钬	钅火󰁶
穿	宀八󰀂丿
芾	艹一冂丨
毂	士冖车又
缯	纟丷󰀺日
绂	纟又丶
弯	亠󰁗弓󰀅
伯	亻白󰀝
蓼	艹羽人彡
鳔	󰁢󰀞覀小
妊	女丿士󰀝
阁	门夂口󰀌
鲦	󰁢󰀞夂木
夷	一弓人󰀦
猞	犭ノ人口
菥	艹木斤󰀬
句	勹口󰀌
钐	钅彡ノ
毖	󰁴匕心丿
涔	氵山人乛
块	土ユ人󰁶
琐	王⺌贝󰁶
搐	扌亠ㄠ田
屑	尸⺌月󰀌
琵	王王󰁴匕
铉	钅亠ㄠ󰁶
蓉	艹宀八口
紊	文ㄠ小󰁧
林	木木󰁶
谭	讠覀早󰀢
唼	口立女󰀝
泽	氵又二丨
认	讠人󰁶
镘	钅日罒又
贝	贝丨󰁈丶
氏	󰁚弋󰁫
市	亠冂丨󰀬
绯	纟丨三三
氓	亠󰄃󰁃弋
圮	土己󰁀
雁	厂亻亻󰁷
蔼	艹讠日󰄃
蜮	虫戈口󰀞
黯	󰀹土灬日
星	日丿主󰀘
鬟	󰂞彡罒󰀔
营	艹冖口口
狞	犭ノ宀丁
永	丶𠃌󰀩󰀦
屦	尸彳米女
遣	口丨一辶
浙	氵扌斤󰀢
岑	山人丶乛
擐	扌罒一󰀔
粑	米巴󰁀
蓐	艹厂二寸
钉	钅丁󰀢
剧	尸古刂󰀢
执	扌九丶󰁶
赊	贝人二小
汆	丿󰂃水󰁧
汇	氵匚󰁀
绋	纟弓󰀯󰀢
等	⺮土寸󰁧
汕	氵山󰀢
侄	亻一厶土
霾	󰀙豸日土
裕	衤󰁧八口
绿	纟󰁭氺󰁶
蜾	虫日木󰁶
廿	廿一丨一
宙	宀由󰀘
蹂	口止󰁻木
鹂	一冂丶一
荜	艹󰁴匕十
水	水水水水
画	一田凵󰀬
崦	山大日乚
污	氵二ㄅ󰁀
略	田夂口󰀝
莞	艹宀二儿
镥	钅󰁢一日
蜱	虫白丿十
闾	门口口󰀌
坼	土斤丶󰁶
咐	口亻寸󰁶
汽	氵󰅎⺄󰁀
璐	王口止口
蕉	艹亻󰁷灬
蹀	口止廿木
莘	艹辛󰀬
镉	钅一口丨
毙	󰁴匕一匕
坫	土󰀥口󰀝
沅	氵二儿󰁀
镁	钅丷王大
沐	氵木󰁶
说	讠丷口儿
涂	氵人一木
嶂	山立早󰀢
蛾	虫丿扌丶
盾	⺁十目󰀌
曾	丷󰀺日󰀘
图	囗夂󰁦󰀦
崭	山车斤󰀬
沟	氵勹厶󰁶
昭	日刀口󰀝
菜	艹爫木󰁧
卞	亠卜󰁧
浊	氵虫󰁶
疥	疒人󰀯󰀵
屯	一凵乚󰁫
鲑	󰁢󰀞土土
荞	艹丿大󰀯
购	贝勹厶󰁶
钮	钅󰁈丨二
魜	󰁢灬人󰁶
沦	氵人匕󰁀
胩	月上卜󰁶
词	讠𠃌一口
荐	艹丨子
钻	钅󰀥口󰀝
捐	扌口月󰀝
獐	犭󰁥立早
油	氵由󰀝
埋	土日土󰀝
锁	钅⺌贝󰁶
罩	罒󰀥早󰀬
帽	冂丨曰目
