偎	亻田一フノㄟ
驮	马大
茭	艹亠八乂
饬	饣ノ一力
偶	亻禺
偕	亻比左匕白
肿	月中
鸺	亻木鸟
咋	口乍
做	亻十口攵
偾	亻十艹冂人
雷	雨田
钋	钅卜
庙	广由
笞	厶口
笾	力辶
曷	日勹人フ
廒	广フノ攵
售	亻亠口
傀	亻鬼
第	フ一フ丨ノ
炀	火フノノ
吉	士口
竽	于
琉	王亠厶ノ丨フ
盈	乃又皿
符	亻寸
荥	艹冖水
溉	氵即左一フノフ
皑	白山己
争	フ一一丨
笮	乍
笙	生
沽	氵十口
呼	口乎
卓	丨一日十
笛	由
笪	日一
呋	口夫
拧	扌宀丁
韨	韦又丶
怅	忄长
呻	口申
速	辶束
炖	火屯
绔	纟大亏
鲽	鱼世木
笺	戋
粽	米宀二小
房	户方
好	女子
囟	ノ囗乂
墁	土日罒又
梁	氵刀ノ丶木
烀	火乎
胀	月长
扶	扌夫
玥	王月
皈	白ノノ又
髦	一丨一二厶ノノノ毛
廉	广丷一フ一一丨丨ノㄟ
仉	亻几
牾	牛五口
矫	矢夭ノ丨
杰	木灬
乌	ノフフ一
汽	氵气
银	钅艮
铵	钅宀女
灯	火丁
凫	ノフ丶フ几
厥	厂丷一フ丨ノ人
右	口
另	口力
铲	钅产
辂	车夂口
睁	目フ一一丨
钼	钅目
徂	彳且
籽	米子
铱	钅亠𧘇
祠	礻フ一口
乒	丘ノ
乞	ノ一フ
暑	日耂日
铮	钅フ一一丨
驷	马囗儿
铬	钅夂口
状	冫丨犬
讦	讠干
杈	木叉
拥	扌用
锑	钅丷フ一フ丨ノ
妇	女彐
贩	冂人ノノ又
尽	尺丶丶
伉	亻亠几
涝	氵艹冖力
铨	钅人王
寿	寿上寸
汾	氵八刀
娠	女厂二フノㄟ
宦	宀臣
浥	氵口巴
浕	氵尺丶丶
霁	雨文ノ丨
尘	小土
省	少目
迂	辶于
脊	冫ノ丶人月
濂	氵广丷一フ一一丨丨ノㄟ
洚	氵夂一フ丨
啪	口扌白
谯	讠亻亠灬
氽	156
凶	乂凵
叮	口丁
稷	禾田八夂
救	求攵
犴	犭干
坛	土二厶
鸟	乌丶
圈	囗フフ
猥	犭田一フノㄟ
挥	扌冖车
香	禾日
婴	冂人冂人女
赈	冂人厂二フノㄟ
吼	口子フ
赇	冂人求
崆	山宀八工
崇	山宀二小
崤	山乂月
学	⺍冖子
崟	山金
圃	囗甫
崮	山囗十口
岩	山石
缂	纟革
古	十口
咒	口口几
崦	山大电
捆	扌囗木
柁	木宀匕
异	巳廾
琮	王宀二小
误	讠口天
吮	口厶儿
制	ノ一一丨フ丨刂
捶	扌垂
父	八乂
舶	舟白
唑	口人人土
啷	口丶即左阝
鸲	勹口鸟
趿	及
运	辶二厶
浠	氵乂巾
呵	口丁口
啥	口人干口
啤	口ノ丨フ一一ノ十
葵	艹フ丶ノノㄟ天
醉	酉亠人人十
犯	犭フフ
鄂	口口亏阝
累	田幺小
唬	口虍几
啼	口亠丷冖巾
陇	阝龙
罂	冂人冂人缶
蛀	虫主
鞁	革フノ丨又
逞	辶口王
凉	冫亠口小
泔	氵甘
涯	氵厂土土
极	木及
簦	156
谦	讠丷一フ一一丨丨ノㄟ
榷	木丶フノ丨亠
其	其上八
嗑	口土厶皿
弘	弓厶
办	力ノ丶
洒	氵西
吁	口于
俳	亻非
祟	出二小
蛄	虫十口
蚶	虫甘
轩	车干
啮	口止人凵
撵	扌夫夫车
钵	钅本
扉	户非
馊	饣ノ丨一フ一一丨又
趺	夫
於	方人丶丶
疼	疒夂丶丶
趼	开
高	亠口冂口
疮	疒人フフ
晁	日儿冫ノ丶
啡	口非
啭	口车专
晚	日丨フ一ノフ
冉	丨フ丨一一
饷	饣ノ冂口
浯	氵五口
详	讠羊
窟	宀八尸出
冶	冫厶口
钥	钅月
晞	日乂巾
喑	口立日
浒	氵讠午
剞	大丁口刂
萤	艹冖虫
谑	讠虍一フ一
呐	口内
民	フ一フ一フ
荸	艹十冖子
此	止匕
牧	牛攵
叵	匚口
槊	丷一フ丨ノ月木
啦	口扌立
洽	氵人一口
哼	口亠口了
圊	囗月
野	里フ丨
南	十冂丷干
坨	土宀匕
目	囗一一
绂	纟又丶
仂	亻力
伯	亻白
贽	扌丸冂人
斧	八乂斤
妊	女壬
阁	门夂口
惶	忄白王
夷	一フ一フノㄟ
珥	王耳
菥	艹木斤
句	勹口
挞	扌大辶
尤	尢丶
末	一一丨ノㄟ
荜	艹比左匕十
琐	王冂人
搐	扌亠幺田
吐	口土
琵	王王比左匕
铉	钅亠幺
吵	口少
紊	文幺小
晨	日厂二フノㄟ
览	丨丨ノ一丶冂见下
唼	口立女
泽	氵又一一丨
啧	口冂人
眦	目止匕
眶	目匚王
常	冖口巾
市	亠巾
绯	纟非
毙	比左匕歹匕
圮	土己
雁	厂亻亻亠
蔼	艹讠日勹人フ
蜮	虫戈口一
姊	女ノフ丨ノ
抽	扌由
鬟	一丨一二厶ノノノ罒一口𧘇
苞	艹勹巳
狞	犭宀丁
卖	十フ丶丶大
屦	尸彳米女
龁	止人凵乞
堑	车斤土
哐	口匚王
擐	扌罒一口𧘇
粑	米巴
蓐	艹厂二フノㄟ寸
钉	钅丁
雨	一丨フ丨丶丶丶丶
纩	纟广
赊	冂人人二小
弄	王廾
妈	女马
雩	雨亏
尝	冖二厶
萦	艹冖幺小
殍	歹ノ⺍子
霾	雨豸里
殓	歹人一⺍一
绿	纟彐氺
幂	冖日大巾
圾	土及
沛	氵一丨フ丨
蚁	虫义
仿	亻方
斗	丶丶十
盔	火皿
茏	艹龙
哉	十戈口
鸸	而鸟
略	田夂口
账	冂人长
镥	钅鱼日
鲯	鱼其上八
硐	石冂一口
驱	马匚乂
咐	口亻寸
池	氵也
璐	王夂口
貊	豸百
硕	石一ノ冂人
硒	石西
鲊	鱼乍
硅	石土土
祥	礻羊
陪	阝立口
镁	钅大
周	冂土口
五	一丨フ一
涂	氵人余下
啁	口冂土口
蛾	虫我
盾	ノノ十目
曾	丷囗日
图	囗夂丶丶
敕	束攵
曹	一丨フ一丨丨一日
放	方攵
令	人丶
卞	丶下
浊	氵虫
疥	疒人ノ丨
斥	ノノ一丨丶
铐	钅耂一フ
荞	艹夭ノ丨
梭	木厶八夂
钮	钅丑
桶	木用
仄	厂人
逊	辶子小
棂	木彐火
荐	艹丨子
协	十办
捐	扌口月
笑	夭
桫	木氵少
棁	木丷口儿
锁	钅冂人
谁	讠亻亠
帽	巾冂一一目
丽	一丨フ丶丨フ
唁	口亠一一口
梢	木月
闼	门大辶
问	门口
踯	丷天阝
郴	木木阝
旮	九日
苜	艹目
吏	一丨フ一ノㄟ
斫	石斤
润	氵门王
綦	其上八幺小
敉	米攵
吞	天口
吧	口巴
梦	木木夕
诟	讠ノノ一口
铥	钅ノ土厶
孑	フ丨一
赳	土丨一人フ丨
黄	艹一由八
谊	讠宀且
魑	鬼亠乂凵丨フフ丶
剂	文ノ丨刂
筑	工凡
牂	爿羊
营	艹冖口口
刳	大亏刂
汩	氵曰
拮	扌士口
旁	亠丷冖方
崂	山艹冖力
昼	尺日一
瘼	疒艹日大
阮	阝二儿
阼	阝乍
菠	艹氵フノ丨又
路	夂口
巯	フ丶工亠厶ノ丨フ
臣	匚丨フ一丨
妙	女少
萄	艹勹缶
珞	王夂口
氟	气弗
唉	口厶矢
泊	氵白
鸠	九鸟
枧	木冂见下
锥	钅亻亠
赦	土ノ丨ノ丶攵
修	亻丨夂ノノノ
棻	艹八刀木
埠	土ノ㠯十
垭	土亚
提	扌日一丨一人
珐	王土厶
庵	广大电
亵	亠扌丸𧘇
柈	木半
掭	扌天
侉	亻大亏
徉	彳羊
鸦	牙鸟
萝	艹罒夕
辉	兀冖车
郏	夹阝
带	带上冖巾
萌	艹日月
狂	犭王
菖	艹日日
菽	艹上小又
菲	艹非
勚	世冂人力
趁	土丨一人人ノノノ
纵	纟人人
晴	日月
陴	阝ノ丨フ一一ノ十
伸	亻申
迮	辶乍
翮	一口冂丷一丨习习
枭	ノフ丶フ木
忮	忄十又
娶	耳又女
妗	女人丶フ
炽	火口八
纳	纟内
篑	中一冂人
掐	扌臼
聃	耳冉
译	讠又一一丨
职	耳口八
意	立日心
忉	忄刀
据	扌尸十口
埽	土彐冖巾
颟	艹两一ノ冂人
纺	纟方
脏	月广土
淦	氵金
左	工
捩	扌户犬
碟	石世木
接	扌立女
喀	口宀夂口
氛	气八刀
掂	扌广丨一口
暴	日艹一八氺
皴	厶八夂フノ丨又
蚴	虫幺力
恸	忄二厶力
板	木ノノ又
睿	丨一冖一八人目
轸	车人ノノノ
杭	木亠几
弭	弓耳
鸷	扌丸鸟
缭	纟大丶ノ日小
漭	氵艹犬廾
桅	木厂フフ
教	耂子攵
堋	土月月
埝	土人丶フ心
授	扌ノ⺍冖又
偏	亻户冂艹
案	宀女木
灏	氵日亠口小一ノ冂人
剐	口内刂
遏	辶日勹人フ
麦	夂
它	宀匕
约	纟勺
郾	匚日女阝
度	广廿又
日	囗一
椿	木寿上ㄟ日
亦	亠ノ丨ノ丶
逵	辶土八土
伺	亻フ一口
间	门日
踵	重
痴	疒矢口
珂	王丁口
芽	艹牙
呀	口牙
堆	土亻亠
堌	土囗十口
夙	几歹
圬	土亏
本	一丨ノㄟ一
眬	目龙
芊	艹千
嘴	口止匕用
轾	车一厶土
掉	扌丨一日十
焉	正一フ灬
姓	女生
舐	千口氏
栈	木戋
成	戊フ
掎	扌大丁口
域	土戈口一
鹦	冂人冂人女鸟
胞	月勹巳
瘥	疒工
春	寿上ㄟ日
汁	氵十
书	フフ丨丶
你	亻小
堵	土耂日
柽	木又土
践	戋
阴	阝月
昴	日ノフノ卩
瘴	疒立日十
屁	尸比左匕
夹	一丶ノ一ノㄟ
笫	ノフ丨ノ
历	厂力
贳	世冂人
衍	彳氵亍
鸶	丝鸟
骏	马厶八夂
偬	亻匆心
呤	口人丶
馁	饣ノ⺍女
绦	纟夂朩
狐	犭瓜
忤	忄午
段	ノ丨一一一几又
却	土厶卩
囝	囗子
绢	纟口月
勐	子皿力
拐	扌口力
沁	氵心
芪	艹氏
伦	亻人匕
弦	弓亠幺
狈	犭冂人
苈	艹厂力
蝥	フ丨ノ攵虫
拈	扌丨一口
杖	木丈
骋	马由一フ
哂	口西
皿	丨フ丨丨一
剟	又又又又刂
兮	八一フ
莸	艹犭尤
岁	山夕
拒	扌巨
对	又寸
畚	厶大田
哿	力口丁口
毋	フフノ一
催	亻山亻亠
真	十具上八
恕	女口心
垄	龙土
竑	立厶
孵	卵ノ⺍子
掴	扌囗玉
努	女又力
娟	女口月
岑	山人丶フ
劐	艹亻亠又刂
糁	米厶大ノノノ
饹	饣夂口
鳁	鱼日皿
研	石开
芈	丨一丨一一一丨
枥	木厂力
酞	酉太
嫉	女疒矢
囿	囗月
邬	乌阝
悬	且厶心
炬	火巨
蚩	フ丨丨一虫
岳	丘山
峁	山ノフノ卩
河	氵丁口
大	ㄟ
砝	石土厶
奘	爿士大
吊	口巾
位	亻立
屑	尸月
展	尸艹一フノㄟ
剥	彐氺刂
拴	扌人王
怕	忄白
邦	寿上阝
冤	冖丨フ一ノフ丶
莺	艹冖鸟
冥	冖日亠八
腐	广亻寸内人
酐	酉干
侦	亻丨一冂人
轰	车又又
邶	丨一一匕阝
仞	亻刃
午	ノ干
芼	艹毛
苴	艹且
租	禾且
庸	广フ一一丨フ一一丨
亸	亠口子丷丨フ一一一丨
坎	土人
自	ノ目
麸	夂夫
凸	丨一丨フ一
轮	车人匕
荀	艹勹日
匆	勹ノノ丶
被	衤フノ丨又
栩	木习习
侮	亻ノ一母
袍	衤勹巳
袒	衤日一
铀	钅由
诽	讠非
焐	火五口
辰	厂二フノㄟ
契	丰刀大
冢	冖一ノフノノ丶ノㄟ
扅	户夕夕
桧	木人二厶
抚	扌无
脐	月文ノ丨
彦	产ノノノ
匀	勹冫
忏	忄千
亚	一业
挈	丰刀手
匈	勹乂凵
茈	艹止匕
茴	艹囗口
韭	非一
倾	亻比左一ノ冂人
爸	八乂巴
韧	韦刃
倬	亻丨一日十
逾	辶人一月刂
茀	艹弗
矿	石广
死	歹匕
俶	亻上小又
请	讠月
梵	木木凡
遴	辶米夕一フ丨
容	宀八人口
涉	氵止丨ノノ
痈	疒用
俦	亻寿上寸
公	八厶
恤	忄血
函	了冫ノ丶凵
耶	耳阝
馑	饣廿丨フ一一一丨一
宵	宀月
史	丨フ一ノㄟ
咎	夂卜口
宸	宀厂二フノㄟ
宁	宀丁
殁	歹几又
迦	辶力口
酬	酉州
讧	讠工
颥	雨而一ノ冂人
夫	一一ノㄟ
业	丨丨丶ノ一
妆	冫丨女
悛	忄厶八夂
珀	王白
菀	艹宀夕フフ
悔	忄ノ一母
车	一フ一丨
喈	口比左匕白
注	氵主
悴	忄亠人人十
浚	氵厶八夂
肴	乂月
页	一ノ冂人
旦	日一
从	人人
姑	女十口
憬	忄日亠口小
科	禾丶丶十
桥	木夭ノ丨
醐	酉十口月
觑	虍业冂见下
浪	氵良
珲	王冖车
定	宀一丨一人
芳	艹方
掀	扌斤人
劳	艹冖力
西	一丨フノフ一
补	衤卜
陟	阝止丨ノノ
芭	艹巴
涣	氵丨フ大
浮	氵ノ⺍子
拦	扌丷三
志	士心
证	讠正
篁	白王
过	辶寸
涔	氵山人丶フ
皂	白七
涡	氵口内
三	一二
涢	氵口冂人
浞	氵口丨一人
涠	氵囗韦
夭	ノ大
陈	阝东
期	其上八月
土	十一
哈	口人一口
挦	扌彐寸
娑	氵少女
奖	冫丨夕大
拾	扌人一口
勾	勹厶
歼	歹千
丘	ノ丨一丨一
浦	氵甫
陨	阝口冂人
所	ノノフ一斤
坂	土ノノ又
辘	车广フ丨丨一比左匕
剀	山己刂
烬	火尺丶丶
惬	忄匚夹
扦	扌千
胬	女又内人
烤	火耂一フ
郸	丷丨フ一一一丨阝
诬	讠工人人
柚	木由
钪	钅亠几
围	囗韦
嘈	口一丨フ一丨丨一日
义	丶乂
恙	心
湉	氵忄千口
阈	门戈口一
韵	立日勹冫
忘	亡心
查	木日一
錾	车斤金
俘	亻ノ⺍子
竿	干
扮	扌八刀
匾	匚户冂艹
芦	艹户
决	冫夬guài
沨	氵几乂
枫	木几乂
甙	156
旆	方ノ一一丨フ丨
冻	冫东
刀	フノ
还	辶不
竞	立口儿
绊	纟半
脬	月ノ⺍子
舀	ノ⺍臼
心	丶フ丶丶
垆	土丨一尸
级	纟及
苁	艹人人
竹	ノ一丨ノ一丨
正	一止
荬	艹フ丶丶大
奎	大土土
迹	辶亠ノ丨ノ丶
伋	亻及
艿	艹乃
颇	フノ丨又一ノ冂人
聆	耳人丶
碇	石宀一丨一人
郭	亠口子阝
裈	衤冖车
妥	ノ⺍女
优	亻尤
缘	纟フフ豕
莒	艹口口
飐	几乂丨一口
灾	宀火
凄	冫一フ一一丨女
皱	彐フノ丨又
杆	木干
袅	ノフ丶フ亠𧘇
磐	舟几又石
突	宀八犬
狼	犭良
骁	马一フノ兀
晌	日ノ冂口
咫	尺口八
涵	氵了冫ノ丶凵
啴	口丷丨フ一一一丨
趵	勺
畴	田寿上寸
瓦	一フフ丶
鱽	鱼刀
向	ノ冂口
昆	日比左匕
朕	月丷天
狎	犭甲
脑	月亠乂凵
胶	月亠八乂
硇	石ノ囗乂
透	辶禾乃
袈	力口亠𧘇
长	ノ一フㄟ
怏	忄央
坟	土文
束	一丨フ一丨ノㄟ
劬	勹口力
若	艹口
肾	丨丨又月
邾	朱阝
驭	马又
嫁	女宀豕
鸰	人丶鸟
犀	尸氺牛
技	扌十又
髁	骨果
耳	一丨丨一一一
豹	豸勺
劝	又力
豺	豸才
爹	八乂夕夕
疴	疒丁口
赵	土丨一人乂
瓞	瓜失
华	亻匕十
些	止匕二
舨	156
徕	彳来
徒	彳土丨一人
庚	广フ一一ノㄟ
倔	亻尸出
祈	礻斤
入	ノㄟ
呶	口女又
损	扌口冂人
砟	石乍
栟	木丷开
奈	大二小
亘	一日一
稿	禾亠口冂口
遗	辶中一冂人
材	木才
胤	ノ幺月フ
臬	自木
是	日一丨一人
倓	亻火火
臾	ノ丨一フ一一ノㄟ
允	厶儿
倦	亻フフ
岸	山厂干
铴	钅氵フノノ
休	亻木
坐	人人土
洵	氵勹日
仇	亻九
姣	女亠八乂
匕	ノフ
诒	讠厶口
倍	亻立口
毒	母
小	丨ノ丶
戾	户犬
隽	亻亠乃
弛	弓也
倪	亻臼儿
晟	日成
戬	亚日戈
愤	忄十艹冂人
绘	纟人二厶
付	亻寸
倞	亻亠口小
邗	干阝
倏	亻丨夂犬
网	冂乂乂
朐	月勹口
爬	爪巴
般	舟几又
舾	舟西
妣	女比左匕
发	フノ又丶
挢	156
锴	钅比左匕白
债	亻冂人
壶	士冖业
佑	亻口
刎	勿刂
泵	石水
荽	艹ノ⺍女
笆	巴
秀	禾乃
笊	爪
怎	乍心
秕	禾比左匕
秩	禾失
积	禾口八
坦	土日一
秣	禾末
殆	歹厶口
怍	忄乍
茨	艹冫人
尾	尸毛
宫	宀口口
特	牛土寸
某	甘木
荭	艹纟工
辑	车口耳
捭	扌ノ丨フ一一ノ十
殉	歹勹日
珈	王力口
氧	气羊
又	フㄟ
氦	气亠フノ人
钟	钅中
缺	缶夬
改	己攵
铆	钅ノフノ卩
帘	宀八巾
侑	亻月
窥	宀八夫冂见下
榀	156
莽	艹犬廾
篾	罒戍
乘	千丨一一匕ノㄟ
柜	木巨
岫	山由
初	衤刀
钴	钅十口
钲	钅正
唔	口五口
赅	冂人亠フノ人
赃	冂人广土
觊	山己冂见下
线	纟戋
峨	山我
妞	女丑
诮	讠月
析	木斤
逗	辶一口丷一
近	辶斤
罟	罒十口
抵	扌氐
罡	罒正
旱	日干
鹘	骨鸟
凤	几又
邹	彐阝
诉	讠斥
场	土フノノ
护	扌户
忑	下心
俑	亻用
唤	口丨フ大
鸯	央鸟
邙	亡阝
炙	ノフ丶丶火
血	ノ皿
拽	扌曳
桀	夕一フ丨木
础	石出
盎	央皿
恩	囗大心
哦	口我
少	小ノ
壮	冫丨士
蚝	虫毛
独	犭虫
括	扌千口
帑	女又巾
渑	氵口电
蚍	虫比左匕
丑	フ丨一一
岔	八刀山
呈	口王
摈	扌宀丘八
簉	口辶
剔	日勿刂
诂	讠十口
茉	艹末
锟	钅日比左匕
限	阝艮
生	ノ
涘	氵厶矢
虐	虍一フ一
十	一丨
驾	力口马
只	口八
眙	目厶口
挽	扌丨フ一ノフ
全	人王
砀	石フノノ
栀	木ノノ一フフ
虑	虍心
氚	气川
顿	屯一ノ冂人
则	冂人刂
尺	尸ㄟ
卡	上卜
鸪	十口鸟
猬	犭田月
茬	艹丨土
髭	一丨一二厶ノノノ止匕
弯	亠丨丨ノ丶弓
灵	彐火
合	人一口
舵	舟宀匕
究	宀八九
汉	氵又
砥	石氐
豉	一口丷一十又
铟	钅囗大
块	土夬guài
砺	石厂万
阐	门丷丨フ一一一丨
判	半刂
淘	氵勹缶
命	人一口卩
派	氵ノノノフノㄟ
酌	酉勺
僇	亻习习人ノノノ
检	木人一⺍一
哥	丁口丁口
卤	丨一囗乂
郇	勹日阝
彧	一口一フノノノ丶
弈	亠ノ丨ノ丶廾
薏	艹立日心
疏	フ止亠厶ノ丨フ
树	木又寸
子	フ丨一
校	木亠八乂
贾	西冂人
桩	木广土
云	二厶
庑	广无
桃	木儿冫ノ丶
贮	冂人宀一
昉	日方
洮	氵儿冫ノ丶
瑭	王广フ一一丨口
疟	疒一フ一
斟	其上八フ丶丶十
桁	木彳亍
讥	讠几
盐	土卜皿
价	亻人ノ丨
廷	廴壬
桦	木亻匕十
泾	氵フ丶工
咽	口囗大
墀	土尸氺牛
桐	木冂一口
镏	钅ノフ丶刀田
桓	木一日一
颀	斤一ノ冂人
孥	女又子
训	讠川
敏	ノ一母攵
畏	田一フノㄟ
莞	艹宀二儿
佟	亻夂丶丶
钽	钅日一
蒽	艹囗大心
莘	艹立十
仑	人匕
实	宀丶丶大
滑	氵骨
荼	艹人余下
钭	钅丶丶十
驶	马史
莴	艹口内
泮	氵半
步	止丨ノノ
莫	艹日大
赘	フノ攵冂人
零	雨人丶
鸣	口鸟
绑	纟寿上阝
恭	艹一八
隐	阝彐心
揽	扌丨丨ノ一丶冂见下
珽	王壬廴
设	讠几又
挫	扌人人土
岘	山冂见下
迫	辶白
耄	耂匕毛
阏	门方人丶丶
逝	辶扌斤
捌	扌口力刂
昏	氏日
嘏	十口フ一丨一一フ一又
弁	厶廾
杀	乂朩
袁	土口𧘇
企	人止
叭	口八
揭	扌日勹人フ
班	王丶ノ王
议	讠义
洑	氵亻犬
垲	土山己
捏	扌日土
啐	口亠人人十
队	阝人
苤	艹丕
笥	フ一口
沘	氵比左匕
彷	彳方
架	力口木
埕	土口王
电	丨フ一一フ
签	人一⺍一
搽	扌艹人朩
匿	匚艹口
落	艹氵夂口
邱	丘阝
嗟	口工
耙	耒巴
耗	耒毛
终	纟夂丶丶
需	雨而
蜀	罒勹虫
族	方ノ一矢
最	日耳又
净	冫フ一一丨
圪	土乞
绒	纟戈
搭	扌艹人一口
吭	口亠几
手	ノ一一丨
筮	工人人
祜	礻十口
浑	氵冖车
唐	广フ一一丨口
贺	力口冂人
迓	辶牙
靶	革巴
挤	扌文ノ丨
赑	冂人冂人冂人
汊	氵叉
德	彳十罒一心
娆	女一フノ兀
娅	女亚
芟	艹几又
粥	弓米弓
娃	女土土
鲥	鱼日寸
费	弗冂人
昨	日乍
氘	气ノ丨
功	工力
谐	讠比左匕白
辁	车人王
氐	氏丶
鸾	亠丨丨ノ丶鸟
岵	山十口
茁	艹出
征	彳正
诲	讠ノ一母
鲵	鱼臼儿
馉	饣骨
榉	木⺍一八一一丨
衿	衤人丶フ
衲	衤内
客	宀夂口
涑	氵束
宥	宀月
鸮	口一フ鸟
反	ノノ又
呸	口丕
踮	广丨一口
帮	寿上阝巾
诤	讠フ一一丨
利	禾刂
未	一一丨ノㄟ
牟	厶牛
艟	舟立里
钤	钅人丶フ
恬	忄千口
疽	疒且
施	方ノ一也
巾	丨フ丨
撤	扌亠厶月攵
迁	辶千
翁	八厶习习
屐	尸彳十又
汐	氵夕
订	讠丁
咴	口火
洴	氵丷开
洋	氵羊
蒴	艹丷一フ丨ノ月
觉	⺍冖冂见下
秉	ノ一フ一一丨ノㄟ
洎	氵自
讹	讠亻匕
月	冂一一
武	一弋止
淑	氵上小又
秭	禾ノフ丨ノ
跑	勹巳
羑	久
疭	疒人人
冈	冂乂
差	工
穸	宀八夕
炷	火主
烁	火乐
吸	口及
哽	口更
沾	氵丨一口
挟	扌夹
尥	尢勺
炳	火丙
娄	米女
闽	门虫
癀	疒艹一由八
丁	一丨
币	ノ巾
精	米月
援	扌ノ⺍一又
铽	钅弋心
陀	阝宀匕
扈	户口巴
版	片ノノ又
峦	亠丨丨ノ丶山
哭	口口犬
沮	氵且
粮	米良
予	フ丨
铭	钅夕口
蜿	虫宀夕フフ
羸	亡口月羊凡
沦	氵人匕
沆	氵亠几
瓴	人丶瓦
食	人良
郤	八人口阝
娉	女由一フ
叙	人余下又
待	彳土寸
琤	王フ一一丨
苟	艹勹口
募	艹日大力
拟	扌フ丶人
孟	子皿
垡	亻戈土
繁	ノ一母攵幺小
昀	日勹冫
嘀	口亠丷冂十口
才	一丨ノ
毵	厶大ノノノ毛
琴	王王人丶フ
阀	门亻戈
吴	口天
屯	一フ丨フ
戈	一フノ丶
诵	讠用
牯	牛十口
甭	不用
毡	毛丨一口
锭	钅宀一丨一人
钡	钅冂人
钚	钅不
迸	辶丷开
忸	忄丑
替	夫夫日
哟	口纟勺
俸	亻寿上ㄟ一一丨
刈	乂刂
咤	口宀ノ七
原	厂白小
丢	ノ土厶
眄	目丏
老	耂匕
镤	钅业ㄟ
蕤	艹豕生
钐	钅ノノノ
呲	口止匕
金	人干丷一
坭	土尸匕
星	日生
哄	口艹一八
钗	钅叉
雀	少丨亠
咭	156
眈	目丶フノフ
兵	丘八
沉	氵冖几
亢	亠几
褶	衤习习白
轷	车乎
形	开ノノノ
牵	大冖牛
砭	石乏
砚	石冂见下
缮	纟羊丷一口
讵	讠巨
柿	木亠巾
铈	钅亠巾
栅	木册
粉	米八刀
貉	豸夂口
肤	月夫
卟	口卜
斤	ノノ一丨
疤	疒巴
荟	艹人二厶
荫	艹阝月
咀	口且
荤	艹冖车
荡	艹氵フノノ
仁	亻二
绁	纟世
滁	氵阝人余下
著	艹耂日
蚀	饣虫
垠	土艮
筐	匚王
泉	白水
况	冫口儿
咄	口出
于	一一丨
城	土成
外	夕卜
型	开刂土
邴	丙阝
绮	纟大丁口
远	辶二儿
饭	饣ノノ又
抬	扌厶口
飞	フノ丶
针	钅十
蒈	艹比左匕白
璈	王フノ攵
窘	宀八尹口
津	氵聿
吟	口人丶フ
扬	扌フノノ
妯	女由
鲐	鱼厶口
铤	钅壬廴
败	冂人攵
沐	氵木
北	丨一一匕
茗	艹夕口
猗	犭大丁口
佘	人二小
犬	大丶
饥	饣几
芬	艹八刀
屉	尸世
抑	扌ノフ卩
镀	钅广廿又
效	亠八乂攵
畀	田一ノ丨
乜	フフ
诘	讠士口
洁	氵士口
綮	户攵幺小
宙	宀由
闭	门才
拗	扌幺力
畈	田ノノ又
蕈	艹西日十
镈	钅甫寸
旭	九日
泥	氵尸匕
怛	忄日一
吓	口下
峥	山フ一一丨
鳐	鱼ノ⺍缶
妄	亡女
菟	艹丨フ一ノフ丶
昽	日龙
阽	阝丨一口
泐	氵阝力
狗	犭勹口
苗	艹田
汈	氵刁
叽	口几
吹	口人
饶	饣一フノ兀
购	冂人勹厶
址	土止
浉	氵丨ノ一巾
奶	女乃
赁	亻壬冂人
水	丨フノㄟ
流	氵亠厶ノ丨フ
沥	氵厂力
岐	山十又
絮	女口幺小
衣	亠𧘇
呗	口冂人
赉	来冂人
存	丨子
昭	日刀口
锈	钅禾乃
