的	白勹丶󰁶
苋	艹ㄇ󰁜󰀅
琰	王火火󰁶
楹	木乃又皿
豉	一口䒑又
黟	󰀹土灬夕
玖	王ク󰂃󰁶
舷	丿󰁪亠ㄠ
汆	丿󰂃水󰁧
郫	白丿十阝
彷	彳方ノ
洮	氵儿󰀪󰁶
杳	木日󰀘
腴	月臼人󰁶
睽	目癶一大
蝤	虫丷西一
舱	丿󰁪人⺋
鞘	廿口十月
诌	讠⺈彐󰀝
隍	阝白王󰀝
邛	工阝󰀢
叱	口ヒ󰁀
嗖	口臼丨又
恪	忄夂口󰀝
绺	纟夂卜口
梵	木木几丶
昊	日一大󰁧
钋	钅卜󰁶
镂	钅米女󰀝
穹	宀八弓󰀅
皴	厶八夂又
霾	󰀙豸日土
鲇	󰁢󰀞󰀥口
淬	氵亠人十
夙	几一夕󰀦
萘	艹大二小
噘	口厂䒑人
阚	门乛耳夂
弭	弓耳󰀝
舂	三人臼󰀘
醺	西一丿灬
翱	白大十羽
贰	弋二贝丶
龋	止人凵丶
胤	丿ㄠ月乚
鼐	乃目󰁕󰁈
仄	厂人󰀦
叵	匚口󰀌
佝	亻勹口󰀝
俎	人人󰀐一
诩	讠羽󰀝
谑	讠󰅋七一
堇	廿口主󰀘
葺	艹口耳󰀘
蕈	艹覀日十
撺	扌宀八丨
忒	弋心丶󰀦
喹	口大土土
恻	忄贝刂󰀢
浃	氵一丷大
宕	宀石󰀘
逖	犭ノ火辶
嫔	女宀󰅍八
棣	木󰁬氺󰁶
槠	木讠土日
脒	月米󰁶
腼	月丆冂三
飕	几乂臼又
睑	目人一一
睿	󰀥冖一目
锔	钅尸𠃌口
锪	钅勹󰁤心
鹪	亻󰁷灬一
耧	三󰅇米女
蜓	虫丿士廴
竽	⺮一󰀛󰀬
簟	⺮覀日十
跚	口止󰀼一
跻	口止文󰀯
鲅	󰁢󰀞丶
鳊	󰁢󰀞丶艹
鳝	󰁢󰀞䒑口
髀	󰀾月白十
髋	󰀾月宀󰁜
髻	󰀍厶彡口
鬈	󰀍厶彡⺋
亓	二󰀯󰀬
匐	勹一口田
哿	力口丁口
苕	艹刀口󰀘
蓼	艹羽人彡
夤	夕宀一八
砑	石󰀂亅丿
鸬	󰀥尸勹一
箸	⺮土丿日
椽	木󰅂一󰀓
垌	土冂一口
卟	口卜󰁶
徕	彳一米󰁶
暧	日爫冖又
歙	人一口人
煸	火丶尸艹
矶	石几󰁀
砹	石艹乂󰁶
皈	白⺁又󰁶
鸢	󰀁丶勹一
蟾	虫⺈厂言
鸯	ㄇ大勹一
搡	扌又又木
呶	口女又󰁶
怏	忄ㄇ大󰁶
洎	氵丿目󰀝
娌	女日土󰀝
牒	丿丨一木
煜	火日立󰀝
恙	丷王心󰁧
龛	人一口丶
敖	主󰁡夂󰁶
剜	宀夕⺋刂
垩	一󰅊一土
喏	口艹口
婕	女一󰁬󰁾
飒	立几乂󰁶
蜥	虫木斤󰀢
兖	亠八厶儿
埚	土口冂人
塬	土厂白小
苒	艹冂土󰀘
蕲	艹丷󰅐斤
幞	冂丨󰅊人
怛	忄日一󰀝
孑	孑乛亅󰀞
缂	纟廿口十
缏	纟亻一乂
甓	尸口立丶
钫	钅方ノ
锆	钅丿土口
銮	亠󰁗金󰀘
颧	艹口口贝
嚏	口十冖󰁾
仃	亻丁󰀢
仨	亻三󰀝
薰	艹丿一灬
擢	扌羽亻󰁷
啜	口又又又
馀	⺈󰁐人木
闱	门二𠃌丨
汴	氵亠卜󰁶
妍	女一廾󰀢
纾	纟󰁻乛亅
桠	木一󰅊一
欤	一ㄅ󰀞人
飓	几乂󰀣八
戾	丶尸大丶
砣	石宀匕󰁀
磬	士󰁅几石
铗	钅一丷大
鹭	口止夂一
袼	衤󰁧夂口
褓	衤󰁧亻木
蟀	虫亠ㄠ十
蟠	虫丿米田
笸	⺮匚口󰀘
筱	⺮亻丨夂
麒	广󰁃〢八
摈	扌宀󰅍八
蛔	虫囗口󰀝
莆	艹一月丶
氐	󰁚󰀁丶󰀦
僭	亻󰀂󰁜日
籴	丿󰂃米󰁧
袤	亠󰁻乛󰀔
荟	艹人二厶
噍	口亻󰁷灬
崃	山一米󰁶
廛	广日土土
阊	门日日󰀌
浔	氵彐寸󰁶
遴	米夕󰀂辶
骊	󰀊󰀞一丶
戛	丆目戈󰁧
歆	立日⺈人
砼	石人工󰀝
蜻	虫主月󰀝
豕	一󰀓󰀦
麾	广木木乚
肛	月工󰀝
傈	亻覀木󰁶
奘	󰄃丨丆大
琥	王󰅋七几
腱	月󰁬󰀟廴
锶	钅田心󰁶
稗	禾白丿十
茬	艹丨土
苫	艹󰀥口󰀘
丕	丆卜一󰀘
藿	艹󰀙亻󰁷
揆	扌癶一大
啷	口丶彐阝
嘣	口山月月
闫	门三󰀌
绀	纟艹二󰀝
珙	王󰁺八󰁶
栲	木土丿ㄅ
碡	石主母󰁶
钍	钅土󰀝
蒽	艹囗大心
疣	疒乚丶
剐	口冂人刂
馗	九䒑丿目
佶	亻士口󰀝
隈	阝田一󰀖
藓	艹󰁢󰀞󰀟
掼	扌󰅂十贝
唰	口尸冂刂
馔	⺈󰁐巳八
遛	󰁚丶刀辶
孀	女󰀙木目
柰	木二小󰁧
樾	木土󰁾丶
檩	木亠囗小
犍	牜󰁬󰀟廴
旎	方𠂉尸匕
煲	亻口木火
盹	目一凵乚
蛎	虫厂一󰁡
笥	⺮𠃌一口
筌	⺮人王󰀘
篼	⺮白󰁚儿
艄	丿󰁪⺌月
蹒	口止艹人
龌	止人凵土
鲣	󰁢󰀞〢土
鲧	󰁢󰀞丿小
搽	扌艹人木
讣	讠卜󰁶
绦	纟夂木󰁶
佻	亻儿󰀪󰁶
冱	冫一󰅂一
茳	艹氵工󰀘
荩	艹尸󰂃󰁦
咭	口士口󰀝
嗥	口白大十
嶝	山癶一䒑
廪	广亠囗小
阈	门戈口󰀞
驷	󰀊󰀞四󰀝
缗	纟󰁃󰁐日
缙	纟一󰅊日
珀	王白󰀝
柩	木匚ク丶
楮	木土丿日
橐	一口丨木
碹	石宀一一
眄	目一丨𠃌
钷	钅匚口󰀝
钹	钅又丶
铳	钅亠厶儿
耔	三󰅇子󰀝
颏	亠ㄥ丿贝
蝼	虫米女󰀝
蟋	虫丿米心
籁	⺮一口贝
蹊	口止爫大
鳄	󰁢󰀞口ㄅ
鳐	󰁢󰀞爫山
鞴	廿口十丨
髭	󰀍厶彡匕
垸	土宀二儿
葭	艹󰁃丨又
啖	口火火󰁶
瑁	王曰目󰀝
町	田丁󰀢
锟	钅日󰁴匕
桨	丬夕木󰁧
诫	讠戈廾󰀢
痔	疒土寸󰀦
偌	亻艹口
苡	艹󰁐丶人
荏	艹亻丿士
薮	艹米女夂
哓	口弋丿儿
喁	口日冂丶
帑	女又冂丨
幡	冂丨丿田
嶂	山立日十
柚	木由󰀝
楸	木禾火󰁶
砻	ヒ丶石
磔	石夕󰀂木
铌	钅尸匕󰁀
镌	钅亻󰁷乃
蛏	虫又土󰀝
蟓	虫⺈口󰀓
蹴	口止亠丶
靓	主月ㄇ󰁜
霁	󰀙文󰀯󰀬
龇	止人凵匕
鳎	󰁢󰀞日羽
呋	口二人󰁶
洄	氵囗口󰀝
逋	一月丨辶
镉	钅一口丨
菹	艹氵󰀐一
喙	口󰅂一󰀓
猁	犭ノ禾刂
阆	门丶彐󰀖
梏	木丿土口
觌	十乛󰁦󰁜
牖	丿丨一丶
膈	月一口丨
睚	目厂土土
铕	钅月󰀝
臾	臼人󰀦
曝	日日󰁺氺
郧	口贝阝󰀢
蛰	扌九丶虫
佤	亻一󰁐丶
掎	扌大丁口
咻	口亻木󰁶
嗄	口丆目夂
嘞	口廿口力
爿	󰄃丨丆󰀏
涔	氵山人乛
楂	木木日一
晗	日人丶口
觎	人一月󰁜
牯	牜古󰀝
铉	钅亠ㄠ󰁶
锕	钅阝丁口
镧	钅门一󰅇
蛄	虫古󰀝
蛐	虫ㄇ󰁺󰀝
笕	⺮ㄇ󰁜󰀅
鲑	󰁢󰀞土土
偈	亻日勹󰄃
萏	艹⺈臼󰀘
囿	囗月󰀌
圉	囗土䒑十
忾	忄󰅎⺄󰁀
漯	氵田ㄠ小
逵	土八土辶
缁	纟巛田󰀝
缦	纟日罒又
轸	车人彡ノ
贲	十艹贝󰁧
忑	一卜心󰁧
罘	罒丆卜󰁧
蠲	䒑八皿虫
镗	钅⺌冖土
蜉	虫爫子󰀝
箧	⺮匚一大
箜	⺮宀八工
艚	丿󰁪一日
趸	一󰁡口󰁾
鏖	广󰁃〢金
菖	艹日日󰀘
铋	钅心丿ノ
谰	讠门一󰅇
娩	女⺈口󰁜
叁	厶大三󰀘
剽	覀二小刂
堠	土亻ユ大
蔻	艹宀二又
嘌	口覀二小
噼	口尸口十
徼	彳白方夂
獍	犭ノ立儿
饧	⺈󰁐ㄋ󰁤
汊	氵又丶󰁶
涿	氵一󰀓丶
潲	氵禾⺌月
孱	尸子孑子
娅	女一󰅊一
姘	女䒑廾󰀢
璐	王口止口
柃	木人丶󰁻
柢	木󰁚󰀁丶
樯	木十䒑口
胪	月󰀥尸ノ
腓	月丨三三
焖	火门心󰁶
睢	目亻󰁷󰀝
瞽	士口䒑目
畲	人二小田
鹌	大日󰁐一
痧	疒氵小丿
裼	衤󰁧日󰁤
蝌	虫禾󰁦十
豸	豸丿丶丿
鲐	󰁢󰀞厶口
鲻	󰁢󰀞巛田
鳍	󰁢󰀞土日
螟	虫冖日八
鲴	󰁢󰀞囗古
孛	十冖子󰀘
苎	艹宀一󰀘
唑	口人人土
猡	犭ノ罒夕
漭	氵艹大廾
淼	水水水󰁧
稔	禾人丶心
鲕	󰁢󰀞丆〢
俑	亻󰁻月丨
讧	讠工󰀝
茏	艹ヒ丶
荜	艹󰁴匕十
莓	艹𠂉母󰁧
葑	艹土土寸
揿	扌钅⺈人
啕	口勹󰅎山
嚯	口󰀙亻󰁷
湟	氵白王󰀝
滂	氵亠丷方
婀	女阝丁口
缵	纟丿土贝
樨	木尸氺󰀟
瓿	立口一丶
碚	石立口󰀝
瞠	目⺌冖土
锎	钅门一廾
镅	钅󰁅目󰀝
痍	疒一弓人
竦	立一口󰅇
笊	⺮⺁丨󰂃
翮	一口冂羽
卞	亠卜󰁧
橇	木丿二乚
厍	厂车󰀵
厝	厂󰁺日󰀌
儋	亻⺈厂言
谄	讠⺈臼󰀝
荇	艹彳一丁
莴	艹口冂人
葚	艹艹三󰄃
蓓	艹亻立口
薏	艹立日心
弑	乂木󰀁丶
嚅	口󰀙丆〢
嵋	山󰁅目󰀝
狷	犭ノ口月
馓	⺈󰁐󰁺夂
溟	氵冖日八
骀	󰀊󰀞厶口
枵	木口一ㄅ
桤	木山己󰁀
榫	木亻󰁷十
榍	木尸⺌月
殄	一夕人彡
殓	一夕人一
辇	二人二车
牦	牜丿二乚
斓	文门一󰅇
硎	石一廾刂
碛	石主贝󰁶
瞵	目米夕丨
铍	钅󰅌又󰁶
稹	禾十󰀣八
鹩	大丷日一
痫	疒门木󰀦
瘿	疒贝贝女
颚	口口二贝
蟥	虫󰁺由八
篥	⺮覀木󰁧
裟	氵小丿󰀔
籼	米山󰀢
粝	米厂一󰁡
酾	西一一丶
跎	口止宀匕
鲟	󰁢󰀞彐寸
黠	󰀹土灬口
醌	西一日匕
鬲	一口冂丨
墁	土日罒又
鼙	士口䒑十
茜	艹西󰀘
莒	艹口口󰀘
荦	艹冖丿󰀟
吲	口弓丨󰀢
啐	口亠人十
崦	山大日乚
徵	彳山一夂
愠	忄日皿󰀝
懵	忄艹罒目
湎	氵丆冂三
滠	氵耳又又
潸	氵木木月
濑	氵一口贝
缬	纟士口贝
柽	木又土󰀝
镦	钅亠口夂
鹑	亠口孑一
鹜	󰁻乛亅一
袂	衤󰁧ユ人
蚍	虫󰁴匕󰁀
蛱	虫一丷大
筚	⺮󰁴匕十
糨	米弓口虫
翕	人一口羽
雒	夂口亻󰁷
鲲	󰁢󰀞日匕
剀	山󰁁刂󰀢
仳	亻󰁴匕󰁀
诳	讠犭ノ王
郯	火火阝󰀢
埝	土人丶心
咴	口火󰁶
哚	口几木󰁶
嗑	口土厶皿
囫	囗勹󰁤󰀏
嵘	山艹冖木
豳	山一󰀓󰀓
洹	氵一日一
浜	氵󰅍一八
姣	女亠八乂
楝	木一󰀹󰅇
轫	车刀丶󰁶
犒	牜亠口口
氙	󰅎⺄山󰀬
忐	󰀥一心󰁧
睃	目厶八夂
秣	禾一木󰁶
皙	木斤白󰀘
窈	宀八ㄠ力
窕	宀八儿󰀪
耒	三󰅇󰀦
颛	山丆冂贝
蜃	厂二󰀖虫
舣	丿󰁪丶乂
趵	口止勹丶
跛	口止󰅌又
踟	口止𠂉口
鲡	󰁢󰀞一丶
鲱	󰁢󰀞丨三
咿	口亻󰁬丿
骈	󰀊󰀞䒑廾
狙	犭ノ󰀐一
侩	亻人二厶
痈	疒月丨󰀵
陔	阝亠ㄥ人
垅	土ヒ丶
撙	扌丷西寸
喾	󰀧冖丿口
嗉	口主ㄠ小
恂	忄勹日󰀝
戕	󰄃丨丆戈
浞	氵口󰁾󰁶
邈	豸白儿辶
骁	󰀊󰀞弋儿
骐	󰀊󰀞艹八
邕	巛口巴󰀅
珞	王夂口󰀝
琨	王日󰁴匕
杼	木󰁻乛亅
柘	木石󰀝
棹	木󰀥日十
暌	日癶一大
媵	月䒑大女
镎	钅人一手
镏	钅󰁚丶田
疝	疒山󰀵
蚱	虫𠂉丨二
蛉	虫人丶󰁻
罄	士󰁅几山
箬	⺮艹口
跖	口止石󰀝
蹁	口止丶艹
蹼	口止󰅊人
鲳	󰁢󰀞日日
鳅	󰁢󰀞禾火
骷	󰀾月古󰀝
髅	󰀾月米女
墒	土亠丷口
呱	口⺁厶󰂃
绻	纟䒑大⺋
秕	禾󰁴匕󰁀
痉	疒ス工󰀌
泅	氵囗人󰁶
孬	丆卜女子
侬	亻冖󰀔󰁶
诓	讠匚王󰀝
谳	讠十冂丶
掮	扌丶尸月
啁	口󰀼土口
崴	山厂一丶
獾	犭ノ艹󰁷
忪	忄八厶󰁶
妯	女由󰀝
玳	王亻󰀁丶
刖	月刂󰀢
髑	󰀾月罒虫
讫	讠𠂉乙󰁀
瘸	疒力口人
獭	犭ノ一贝
刎	勹󰁤刂󰀢
仉	亻几󰁀
伥	亻丿七󰂃
僖	亻士口口
羸	亠󰄃口丶
讦	讠干󰀢
谇	讠亠人十
茛	艹彐󰀖󰁧
菰	艹孑⺁󰂃
啵	口氵󰅌又
峥	山⺈󰁬亅
獬	犭ノ⺈󰀟
庖	广勹巳󰁫
忤	忄𠂉十󰀢
怊	忄刀口󰀝
懔	忄亠囗小
洇	氵囗大󰁶
濉	氵目亻󰁷
彘	󰅂一𠂉匕
艴	弓󰀯⺈巴
嫠	二󰅇夂女
绾	纟宀丨󰁃
缃	纟木目󰀝
玑	王几󰁀
珉	王󰁃󰁐弋
旮	九日󰀘
虢	爫寸󰅋几
豚	月一󰀓󰁶
腧	月人一刂
膑	月宀󰅍八
硖	石一丷大
钣	钅⺁又󰁶
锞	钅日木󰁶
镒	钅䒑八皿
镥	钅󰁢一日
镫	钅癶一䒑
耖	三󰅇小丿
颞	耳又又贝
螨	虫艹一人
簋	⺮彐󰀖皿
舡	丿󰁪工󰀝
舭	丿󰁪󰁴匕
袈	力口亠󰀔
糗	米丿目丶
酽	西一一厂
踅	扌斤口󰁾
跹	口止丿辶
巽	巳巳󰁺八
螂	虫丶彐阝
佞	亻二女󰀝
诠	讠人王󰀝
阽	阝󰀥口󰀝
圹	土广ノ
埴	土十󰀣󰀝
堙	土覀土󰀝
塄	土罒方ノ
蕺	艹口耳丶
蘼	艹广木三
摁	扌囗大心
撄	扌贝贝女
撷	扌士口贝
撸	扌󰁢一日
呓	口艹乙󰁀
噻	口宀󰀀土
帙	冂丨󰅎人
憷	忄木木󰁾
沔	氵一丨𠃌
沆	氵亠几󰁀
沩	氵丶丿丶
泔	氵艹二󰀝
潴	氵犭ノ日
澉	氵乛耳夂
娆	女弋丿儿
骅	󰀊󰀞亻十
缣	纟䒑󰁬󰁗
韪	日一󰁾丨
栎	木丿󰄃小
栾	亠󰁗木󰁧
桴	木爫子󰀝
榀	木口口口
椴	木亻三又
觋	工人人󰁜
炱	厶口火󰁧
戆	立日十心
畎	田大丶󰁶
盍	土厶皿󰀘
铷	钅女口󰀝
鹗	口口二一
蝻	虫十冂十
笱	⺮勹口󰀘
舢	丿󰁪山󰀢
羯	䒑󰀠日󰄃
醢	西一皿
麇	广󰁃〢禾
佟	亻夂󰁦󰁶
谡	讠田八夂
谶	讠人人󰀞
堞	土廿󰄃木
莪	艹丿扌丶
蕻	艹󰀍厶八
叻	口力ノ
哙	口人二厶
咤	口宀丿七
淝	氵月巴󰁀
逅	⺁一口辶
遑	白王辶󰀌
尕	乃小󰁧
棂	木彐火󰁶
氅	⺌冂口乚
腙	月宀二小
磙	石亠八󰀔
铟	钅囗大󰁶
矬	𠂉大人土
稃	禾爫子󰀝
瘌	疒一口刂
癯	疒目目󰁷
颉	士口丆贝
趱	土󰁾丿贝
踺	口止󰁬廴
扦	扌丿十󰀢
胱	月⺌一儿
糌	米夂卜日
誊	䒑大言󰀘
诟	讠⺁一口
陉	阝ス工󰀝
隗	阝白󰁜厶
郜	丿土口阝
垭	土一󰅊一
埘	土日寸󰁶
荬	艹乛󰁦大
莼	艹纟一乚
菟	艹⺈口丶
葩	艹白巴󰀅
摺	扌羽白󰀝
甙	弋艹二丶
啭	口车二丶
嗫	口耳又又
嘧	口宀心山
馊	⺈󰁐臼又
悌	忄丷弓丿
慵	忄广󰁬丨
洚	氵夂󰀂丨
潋	氵人一夂
蹇	宀󰀀八󰁾
椐	木尸古󰀝
赉	一米贝󰁧
煳	火古月󰀝
戽	丶尸󰁦十
愆	彳氵一心
铹	钅艹冖力
锴	钅󰁴匕白
镆	钅艹日大
窨	宀八立日
窳	宀八⺁󰂃
褊	衤󰁧丶艹
褫	衤󰁧⺁几
篁	⺮白王󰀘
舸	丿󰁪丁口
糅	米󰁻乛木
趔	土󰁾一刂
龃	止人凵一
縻	广木木小
苌	艹丿七󰂃
荽	艹爫女󰀘
搠	扌䒑凵月
渌	氵󰁭氺󰁶
灞	氵󰀙廿月
骛	󰁻乛亅一
齑	文󰀯丨一
硐	石冂一口
聱	主󰁡夂耳
虻	虫亠󰄃󰁀
蝣	虫方𠂉子
螳	虫⺌冖土
筘	⺮扌口󰀘
篌	⺮亻ユ大
麋	广󰁃〢米
鹫	亠口小一
蹿	口止宀丨
娠	女厂二󰀖
伛	亻匚乂󰁶
唏	口乂丨
嘭	口士口彡
幄	冂丨尸土
徉	彳䒑󰀟󰀢
溆	氵人一又
枧	木ㄇ󰁜󰁀
殒	一夕口贝
氆	丿二乚日
钪	钅亠几󰁀
铼	钅一米󰁶
秭	禾丿ㄅ丿
鹈	丷弓丨一
瘊	疒亻ユ大
褡	衤󰁧艹口
螫	土󰁖夂虫
赧	土󰁖卩又
趼	口止一廾
雏	⺈彐亻󰁷
珐	王土厶󰁶
疹	疒人彡󰀏
芈	丨一󰀥󰀟
伉	亻亠几󰁀
倥	亻宀八工
诼	讠一󰀓丶
邬	勹ㄅ󰀞阝
郄	乂厶阝
荑	艹一弓人
莘	艹立十󰀬
蓁	艹三人禾
辔	车纟纟口
岫	山由󰀝
峄	山又󰀟󰀢
崞	山亠口子
忝	一大⺗󰁧
洫	氵丿皿󰀝
洳	氵女口󰀝
湔	氵䒑月刂
濮	氵亻󰅊人
瀹	氵人一艹
迨	厶口辶󰀌
缋	纟口丨贝
枥	木厂力ノ
棼	木木八刀
殍	一夕爫子
昱	日立󰀘
赅	贝亠ㄥ人
擘	尸口立手
旒	方𠂉亠󰀸
燹	一󰀓一火
砭	石丿之󰁶
碓	石亻󰁷󰀝
黻	󰅊一丷丶
睐	目一米󰁶
畀	田一󰀯󰀬
钐	钅彡ノ
锝	钅日一寸
镛	钅广󰁬丨
鸷	扌九丶一
疬	疒厂力󰀏
癍	疒王文王
颡	又又又贝
蜢	虫子皿󰀝
衾	人丶乛󰀔
骶	󰀾月󰁚丶
啄	口一󰀓丶
鳗	󰁢󰀞日又
佰	亻丆日󰀝
妊	女丿士󰀝
兕	丨󰁎󰀽儿
诮	讠⺌月󰀝
谲	讠󰁻乛口
邶	丬󰁴阝󰀢
鄢	一止一阝
圯	土巳󰁀
茔	艹冖土󰀘
茕	艹冖⺄十
茈	艹止匕󰀅
蕨	艹厂䒑人
抟	扌二󰁓丶
摭	扌广廿灬
囹	囗人丶󰁻
帼	冂丨囗丶
愎	忄𠂉日夂
汜	氵巳󰁀
洧	氵月󰀝
洙	氵󰅎󰅇󰁶
澍	氵士口寸
逡	厶八夂辶
遨	主󰁡夂辶
邂	⺈月丨辶
妗	女人丶乛
嬖	尸口立女
绡	纟⺌月󰀝
甾	巛田󰀘
梃	木丿士廴
桷	木⺈月丨
榧	木匚丨三
辋	车冂䒑󰄃
昕	日斤󰀢
炷	火丶王󰀝
祓	礻󰁶丶
碇	石宀一󰁾
罟	罒古󰀘
钗	钅又丶󰁶
铊	钅宀匕󰁀
铤	钅丿士廴
镡	钅覀日十
鸩	冖󰁜勹一
鹆	八人口一
鹉	二止󰁒一
鹧	广廿灬一
瘐	疒臼人󰀦
瘰	疒田ㄠ小
癃	疒阝夂主
耨	三󰅇厂寸
聒	耳丿古󰀝
蚶	虫艹二󰀝
蟑	虫立日十
笪	⺮日一󰀘
羝	䒑󰀠󰁚丶
粑	米巴󰁀
糈	米乛󰁾月
蹰	口止厂寸
躐	口止巛󰁒
鲆	󰁢󰀞一十
鳇	󰁢󰀞白王
挛	亠󰁗手󰀬
睥	目白丿十
耪	三󰅇亠方
靥	厂大丶三
鄞	廿口主阝
酃	󰀙口口阝
埒	土爫寸󰁶
夼	大川󰀬
摞	扌田ㄠ小
擤	扌丿目󰀯
哂	口西󰀝
嗝	口一口丨
噱	口󰅋七󰀓
嚓	口宀󰁯小
帏	冂丨二丨
崮	山囗古󰀘
狴	犭ノ󰁴土
愦	忄口丨贝
泖	氵󰁚丿卩
骠	󰀊󰀞覀小
绂	纟又丶
缒	纟亻󰁃辶
犋	牜󰀣八󰁶
塍	月䒑大土
锒	钅丶彐󰀖
锫	钅立口󰀝
锿	钅亠口󰀔
痦	疒五口󰀌
聃	耳冂土󰀝
蚬	虫ㄇ󰁜󰁀
蟛	虫士口彡
笤	⺮刀口󰀘
鲚	󰁢󰀞文󰀯
蹭	口止丷日
佾	亻八月󰀝
侪	亻文󰀯󰀢
倬	亻󰀥日十
傥	亻⺌冖儿
谮	讠󰀂󰁜日
谵	讠⺈厂言
陧	阝日土󰀝
邴	一冂人阝
垡	亻戈土󰀘
坫	土󰀥口󰀝
苣	艹匚󰁃󰀘
蒌	艹米女󰀘
捭	扌白丿十
吣	口心󰁶
囵	囗人匕󰁫
犰	犭ノ九󰁀
犴	犭ノ干󰀢
猓	犭ノ日木
獐	犭ノ立十
庑	广二󰁜󰁫
阌	门爫冖又
嬗	女亠囗一
缱	纟口丨辶
殁	一夕几又
旰	日干󰀢
牾	牜五口󰀝
彀	士冖一又
旃	方𠂉󰀼亠
畹	田宀夕⺋
钽	钅日一󰀝
铑	钅土丿匕
铪	钅人一口
锛	钅大十廾
镞	钅方𠂉大
鸱	󰁚󰀁丶一
蚩	凵丨一虫
蜍	虫人一木
蜴	虫日勹󰁤
螬	虫一ㄇ日
襞	尸口立󰀔
翳	匚𠂉大羽
貊	豸丆日󰀝
龈	止人凵󰀖
龊	止人凵󰁾
鎏	氵亠厶金
飨	󰁲丿人󰀖
仟	亻丿十󰀢
嘏	古󰁃丨又
侑	亻月󰀝
倨	亻尸古󰀝
偬	亻勹󰁤心
龠	人一口艹
冁	丷󰅐尸󰀖
诖	讠土土󰀝
谫	讠䒑月刀
谯	讠亻󰁷灬
劢	一󰁡力ノ
鬯	󰁘凵匕󰀅
坌	八刀土󰀘
垓	土亠ㄥ人
堀	土尸凵山
艿	艹乃󰁣
莠	艹禾乃󰁣
荻	艹犭ノ火
蓊	艹八厶羽
蕤	艹一󰀓主
掊	扌立口󰀝
搌	扌尸󰁺󰀖
呙	口冂人󰁧
唿	口勹󰁤心
岵	山古󰀝
崂	山艹冖力
嵯	山䒑󰀠工
嵴	山󰀪人月
獠	犭ノ大小
怄	忄匚乂󰁶
怩	忄尸匕󰁀
悛	忄厶八夂
悱	忄丨三三
闳	门厶󰀦
阋	门臼儿󰁫
阗	门十󰀣八
泺	氵丿󰄃小
淦	氵金󰀝
滏	氵八乂䒑
澌	氵艹三斤
瀣	氵󰀥夕一
羼	尸䒑󰀟󰀟
妁	女勹丶󰁶
绁	纟廿󰄃󰁀
缍	纟丿十一
珏	王王丶󰁶
璁	王丿囗心
桡	木弋丿儿
槎	木䒑󰀠工
樗	木󰀙二ㄅ
辚	车米夕丨
晷	日夂卜口
赇	贝一氺丶
牝	牜匕󰁀
胨	月󰀂小󰁶
胂	月日丨󰀢
朐	月勹口󰀝
胼	月䒑廾󰀢
欷	乂冂人
毂	士冖车又
烊	火䒑󰀟󰀢
熳	火日罒又
燔	火丿米田
爨	󰀗ㄇ一火
恁	亻丿士心
畛	田人彡ノ
詈	罒言󰀘
钕	钅女󰀝
锱	钅巛田󰀝
镳	钅广󰁃灬
鸶	󰁲󰁲一一
鹚	䒑ㄠㄠ一
疖	疒ㄗ󰀵
疱	疒勹巳󰁫
疰	疒丶王󰀌
虬	虫乚󰁀
蚪	虫󰁦十󰀢
箨	⺮扌又󰀟
簏	⺮广󰁃匕
艋	丿󰁪子皿
粞	米西󰀝
醅	西一立口
跞	口止丿小
蹀	口止廿木
貔	豸丿囗匕
雠	亻󰁷讠󰁷
鳕	󰁢󰀞󰀙彐
鞫	廿口十言
魇	厂大丶厶
魉	白󰁜厶人
餍	厂大丶󰀖
滗	氵⺮丿乚
蠹	一口丨虫
僳	亻覀米󰁶
囟	丿囗乂󰀦
刳	大二ㄅ刂
勖	曰目力ノ
叟	臼丨又󰁧
矍	目目亻又
蕹	艹亠󰁲󰁷
拶	扌巛夕󰁶
吖	口丷丨󰀢
哐	口匚王󰀝
咩	口䒑󰀟󰀢
哞	口厶丿󰀟
喵	口艹田󰀝
啶	口宀一󰁾
徜	彳⺌冂口
狯	犭ノ人厶
舛	夕󰀂丨󰀢
悭	忄〢又土
阄	门⺈日乚
洌	氵一夕刂
淠	氵田一󰀯
滹	氵󰅋七󰀛
搴	宀󰀀八手
遢	日羽辶󰀌
邋	巛囗乂辶
妲	女日一󰀝
玎	王丁󰀢
琮	王宀二小
枨	木丿七󰂃
榉	木󰀧一󰀟
檫	木宀󰁯小
肼	月二󰀯󰀢
朊	月二儿󰁀
腌	月大日乚
膦	月米夕丨
碜	石厶大彡
罱	罒十冂十
钏	钅川󰀢
疴	疒丁口󰀌
瘘	疒米女󰀌
裥	衤󰁧门日
耢	三󰅇艹力
耵	耳丁󰀢
聩	耳口丨贝
蚋	虫冂人󰁶
蛴	虫文󰀯󰀢
罂	贝贝󰅎山
艨	丿󰁪艹󰀓
跸	口止󰁴十
跣	口止丿儿
跤	口止亠乂
鞯	廿口十子
蓍	艹土丿日
仡	亻𠂉乙󰁀
鲨	氵小丿一
熵	火亠丷口
岿	山リ彐󰀘
亍	一丁󰀬
爻	乂乂󰁧
仵	亻𠂉十󰀢
傩	亻又亻󰁷
僮	亻立日土
訇	勹言󰀌
隰	阝日ㄠ灬
邡	方阝󰀢
凼	水凵󰀵
墀	土尸氺󰀟
苴	艹󰀐一󰀘
荨	艹彐寸󰁧
蓐	艹厂二寸
蓰	艹彳止󰁾
奁	大匚乂󰁧
捃	扌󰁬丿口
揸	扌木日一
唳	口丶尸丶
