礼	二小乚󰁀
矃	目宀心丁
柃	木人丶󰁻
埃	土厶𠂉大
䟃	土󰁾厶彡
㟃	山𠃌一口
诿	讠禾女󰀝
鐾	尸口立金
搾	扌宀八二
琾	王田人󰀯
尿	尸水󰀦
䰿	󰁢灬𠂉也
㰿	爫幺大人
鶿	䒑幺幺灬
蕾	艹󰀙田󰀘
䃂	石日󰁴匕
境	土立日儿
㢃	广丶艮󰀦
袃	七刀亠󰀔
颃	亠几丆贝
梃	木丿士廴
碃	石月󰀝
㷿	火人一人
显	日󰅊一󰀘
瘾	疒阝⺈心
䘾	衤󰁧宀󰃧
嘾	口覀早󰀢
薾	艹一八乂
閾	門戈口󰀞
㡃	冂丨人󰀸
塃	土艹亠󰀸
䀂	宀女皿󰀘
瀂	氵󰁢灬日
怂	人人心󰁧
适	丿古辶󰀌
耂	土丿󰀏
㕾	小口匕󰀅
啾	口禾火󰁶
䕾	艹口口攵
畾	田田田󰀘
涿	氵一󰀓丶
迹	亠󰁖辶󰀦
翹	土土土羽
枸	木勹口󰀝
垸	土宀二儿
俹	亻一󰀚一
㿹	皮土羊辶
夃	乃又󰀦
慂	氵󰁻用心
煂	火廿󰀜󰀢
腂	月曰木󰁶
㤃	忄方󰁥
䤃	西一立日
㵿	氵白白白
䵿	士口䒑口
喾	󰀧冖丿口
斾	方𠂉冂丨
疾	疒𠂉大󰀦
壃	土一田一
䣃	𠂉一止阝
㣃	弓亠厶弓
邂	⺈用刀辶
肂	一夕󰁬󰀟
炂	火八厶󰁶
棃	禾勹丿木
鞸	廿󰀜曰󰀟
葾	艹夕⺋心
瑾	王廿口主
釂	西一爫寸
鑾	言糹糹金
燂	火覀早󰀢
覃	覀早󰀬
妃	女己󰁀
懂	忄艹丿土
㦃	忄立丿
䦃	钅艹土日
峿	山五口󰀝
放	方夂󰁶
㳿	氵亠厶木
䔾	艹扌日󰄃
璾	王󰀴󰀳󰀝
鄂	口口二阝
钾	钅甲󰀢
楃	木尸一土
儂	亻ㄇ󰁺󰀖
脂	月匕日󰀝
焂	亻丨攵火
䥃	釒冖亻󰁷
㥃	忄門󰀝
䲿	尸󰁴󰁟灬
㲿	氵广󰁥
摾	扌弓口虫
岿	山リ彐󰀘
鸿	氵工勹一
藾	艹木口貝
㱿	士冂一又
䒾	艹亠󰀔󰁧
屿	山一ㄅ一
撾	扌ㄇ󰁈辶
蘾	艹土亠󰀔
阾	阝人丶󰁻
駃	󰀋灬ユ人
膂	方𠂉󰀕月
秃	禾几󰀅
憂	丆󰀐冖夂
冂	冂丨𠃌
䧃	阝田󰀝
㧃	扌󰁐丨󰀢
㗾	口廿󰀜ヒ
痾	疒阝丁口
旾	一凵乚日
嗾	口方𠂉大
䗾	虫日幺灬
㩃	扌宀󰀀󰁦
刂	刂丨亅
䈂	⺮䒑廾󰀬
穃	禾宀八口
橃	木癶弓又
鈂	釒冖󰁜󰁀
㻺	厂禾禾丶
仺	人匚一󰀘
圹	土广ノ
朹	木九󰁀
眹	目䒑大󰁶
蜹	虫艹冂人
霹	󰀙尸口辛
㪃	丁口󰀥又
膸	月工辶
秹	禾亻丿士
檃	阝爫工木
窃	宀八七刀
䪃	廿󰀜󰁸攵
㧹	扌日一寸
苂	艹火󰁧
鋂	釒𠂉母󰁶
㫃	方人󰁶
犂	禾勹丿󰀟
抂	扌王󰀝
劂	厂䒑凵刂
䫃	厂二󰀖貝
佺	亻人王󰀝
彺	彳王󰀝
銂	釒丶丿丨
节	艹ㄗ󰀬
轺	车刀口󰀝
隹	亻󰁷󰀝
潺	氵尸子子
皹	皮冖車󰀢
㬃	日厶口火
䬃	几丿虫立
卂	⺄十󰀵
欃	木⺈口丶
㝹	小丿⺈丶
庺	广八厶木
人	人人人人
睹	目土丿日
杹	木亻ヒ󰁀
鬃	󰂞彡宀小
躺	丿󰀽三口
䭃	人良人心
㭃	木幺󰁶
挂	扌土土󰀝
孃	女亠口󰀔
選	巳巳󰁺辶
堹	土丿一土
根	木彐󰀖󰁶
灸	ク󰂃火󰁧
蠹	一口丨虫
茂	艹厂󰅅丶
筃	⺮囗大󰁧
㠹	冂丨人󰀯
俺	亻大日乚
它	宀匕󰀅
殃	一夕ㄇ大
㮃	木禾女󰀝
䮃	󰀋灬土厶
囹	囗人丶󰁻
伺	亻𠃌一口
㼺	广󰁬丨丶
雹	󰀙勹巳󰀅
蛹	虫󰁻月丨
盹	目一凵乚
漺	氵大乂乂
掂	扌广󰀥口
厂	厂一丿
䎂	羽勹巳󰁀
㯃	木木人氺
鞹	廿󰀜亠阝
瞹	目爫冖夂
螹	虫車斤󰀢
垹	土三丿阝
枹	木勹巳󰁀
㞹	山丁口󰀝
鎂	釒丷王大
诃	讠丁口󰀝
篃	⺮󰁅目󰀘
摂	扌耳󰀪󰁶
簃	⺮禾夕夕
调	讠󰀼土口
鑂	釒丿一灬
项	工丆贝󰁶
桹	木丶艮󰁶
倸	亻爫木󰁶
耸	人人耳󰀘
瀸	氵人人󰀞
㑂	亻一冂人
䰃	󰂞彡䒑业
呂	口丿口󰀘
䤹	釒宀火又
搂	扌米女󰀝
椹	木艹三󰄃
萂	艹禾口󰀘
腸	月日一󰁤
酸	西一厶夂
㐂	七七七󰀅
吂	󰄹丶一一
䐂	月󰁭氺󰁶
㤹	忄一氺丶
䯹	󰂞彡彐又
铂	钅白󰀝
沃	氵丿大󰁶
瓂	王艹土皿
䓂	艹言󰀘
哂	口西󰀝
㲃	󰀥日󰁴又
鎸	釒亻󰁷乃
诹	讠耳又󰁶
玸	王勹巳󰁀
毹	人一月乚
对	又寸󰁶
惸	忄勹日子
碹	石宀一一
糃	米曰一󰁤
撂	扌田夂口
胸	月勹乂凵
郸	丷󰅐阝󰀢
咂	口匚冂丨
䳃	󰁟灬夕⺋
㒂	亻艹土日
㢹	弓辛󰀢
镂	钅米女󰀝
䥹	釒三丨󰀆
焸	日日火󰁧
楹	木乃又皿
啂	口爫孑乚
洃	氵火󰁶
畂	田ク󰂃󰁶
蕂	艹月丷力
凉	冫󰁸小󰁶
䕂	艹厶口辶
㥹	米八刀心
稹	禾十󰀣八
艸	凵丿凵丨
騹	󰀋灬廿
攂	扌田田田
䉸	⺮辛言辛
剸	一曰丨刂
樹	木土口寸
䔂	艹宀辛󰀬
㵃	氵虫宀匕
炸	火𠂉丨二
棹	木󰀥早󰀢
壹	士冖一䒑
䂸	石戈口󰀞
痂	疒力口󰀌
藂	艹耳又乑
邸	󰁚󰀁丶阝
裹	亠日木󰀔
㗂	口小丿目
䗂	虫虍几󰁀
㣹	彳广亻心
馹	󰀋灬日󰀝
禹	丿口冂丶
臸	一厶土土
跃	口止丿大
懸	󰀣小丿心
㦹	日一勹戈
巃	山立月三
䖂	艹言糹手
㷃	火󰀍󰀖󰁧
詹	⺈厂八言
穹	宀八弓󰀅
鈸	釒又丶
䈸	⺮⺈用十
㩹	扌又又一
橹	木󰁢一日
婹	女覀女󰀝
㙂	土丷口儿
七	七一乚
噂	口丷西寸
渃	氵艹口
療	疒大丷小
虂	艹󰀙口口
陂	阝󰅌又󰁶
笸	⺮匚口󰀘
掿	扌艹口
鎿	釒人一手
莿	艹木冂刂
㹃	丨三丨󰀟
幃	冂丨󰁆㐄
䘂	虫十戈󰀞
瘂	疒一󰀚一
昂	日󰁚卩󰀬
阂	门亠ㄥ人
蘂	艹心心木
县	󰀐一厶󰁧
䎿	耳禾火󰁶
菿	艹一厶刂
鏿	釒⺌冖木
揿	扌钅⺈人
珿	王口󰁾󰁶
㛂	女⺁巴󰁀
溃	氵口丨贝
盂	一󰀛皿󰀘
亃	米夕㐄乚
広	广厶󰀦
䫸	几丿虫刀
嫸	女羊䒑口
蛂	虫又丶
㫸	日一󰁬󰁾
政	一止夂󰁶
嶸	山火火木
䔿	艹丷西寸
㶸	火力力力
㻃	ㄇ󰁺王丶
皂	白七󰀅
暂	车斤日󰀘
廃	广癶二儿
䚂	土󰁖目儿
锿	钅󰁸󰀔󰁶
隂	阝人󰂞󰁶
甿	田亠󰄃󰁀
捿	扌一󰁬女
筸	⺮曰干󰀬
荿	艹戊𠃌󰀅
鍿	釒巛一田
睂	人人丨目
較	車六乂󰁶
靂	󰀙厂禾止
㝂	孑扌斤󰀢
㭸	木⺈口丶
坂	土⺁又󰁶
卿	󰁚丿彐卩
銿	釒󰁻用󰀢
永	丶𠃌󰀩󰀦
尸	尸󰁈一丿
芿	艹亻乃󰁣
簸	⺮艹三又
蜂	虫夂三丨
眂	目󰁚󰀁󰁀
䰸	󰁢灬八厶
齃	丿目田󰄃
佃	亻田󰀝
㽃	丿米田丶
潃	氵彳夂月
圂	囗一󰀓󰀦
鋿	釒⺌冂口
篸	⺮厶厶彡
诸	讠土丿日
勿	勹󰁤󰀏
拿	人一口手
龃	止人凵一
䯸	󰂞彡冫人
羃	罒艹曰丨
蟂	虫󰁟木󰁶
埂	土一日乂
澃	彡丆貝水
㾃	疒宀匕󰁫
侃	亻口󰀸󰁀
骸	󰀾月亠人
萿	艹氵丿古
琿	王冖車󰀢
檸	木宀心丁
鞂	廿󰀜禾󰁶
螂	虫丶彐阝
翃	厶羽󰀝
濃	氵ㄇ󰁺󰀖
䐿	月丿ㄇ大
促	亻口󰁾󰁶
㞂	乚爫女
鉿	釒人一口
㡂	一夕刂丨
䂁	目⺈口丶
塂	土󰁺八巳
桂	木土土󰀝
炁	󰀄󰁜灬󰁧
衂	丿皿刀丶
邁	艹曰冂辶
㱸	一夕尸辛
䱸	󰁢灬臼又
㠂	山󰁡攵
㖿	口耳阝󰀢
䃁	石一󰀚一
砂	石小丿ノ
䖿	禾勹丿虫
郁	月阝󰀢
蠂	虫艹廿木
閿	門爫冖又
贸	󰁚丶刀贝
韹	立日白王
蟹	⺈用刀虫
矹	石一儿󰁀
柹	木丿ㄅ丿
培	土立口󰀝
䟹	口止爫寸
㟹	山耳󰁚卩
䣂	二木阝󰀢
㗿	口門丁口
㣂	弓一口丨
泸	氵󰀥尸ノ
送	䒑大辶󰀦
棂	木彐火󰁶
鑑	釒匚丨皿
葑	艹土土寸
粒	米立󰀝
藿	艹󰀙亻󰁷
呑	丿大口󰀘
䲒	󰁢灬⺈󰀟
㑑	亻丿目󰀝
偁	亻爫冂土
䁁	目󰁸小󰁶
㢂	广丿󰃧󰀌
遁	⺁十目辶
袂	衤󰁧ユ人
鐑	釒糹士口
恁	亻丿士心
琑	王⺌月󰀝
萑	艹亻󰁷󰀘
向	丿冂口󰀌
泒	氵⺁厶󰂃
㳒	氵大厶󰁶
䐑	月廿󰄃木
醁	西一󰁭氺
冁	丷曰十󰀖
楂	木木日一
祂	礻󰁶也󰁀
㕿	禾口󰀘
䕿	艹廿口灬
铑	钅土丿匕
浸	氵彐冖又
䆁	禾罒土十
氒	󰁚󰀁十󰀬
长	丿七󰂃󰀦
谒	讠日勹󰄃
簒	⺮目大厶
䓑	艹氵一廾
㓑	冫土䒑十
釁	󰀗ㄇ一刀
䒿	艹冖月󰀘
夂	夂丿乛󰂃
褂	衤󰁧土卜
咿	口亻󰁬丿
钑	钅乃󰂃󰁶
䤂	西一甘木
㤂	乃󰂃心󰁧
咑	口扌丁󰀢
汒	氵亠󰄃󰁀
籒	⺮扌一田
蒑	艹⺁彐又
蒿	艹󰁸冂口
璿	王󰀥冖目
㱒	止丁口󰀘
钿	钅田󰀝
駂	匕十󰀋灬
焁	口⺈人火
观	又ㄇ󰁜󰁀
㓿	禾人氺刂
䓿	艹󰁻囗十
㧂	丶尸田󰀌
䧂	阝刀口󰀝
卑	白丿十󰀬
䍑	冂乂乂干
㮒	木覀土󰀝
鍑	釒𠂉日夂
荑	艹一弓人
箒	⺮彐冖丨
蓿	艹宀亻日
䈃	⺮氵刀口
刃	刀丶󰀦
戃	忄⺌冖灬
爃	火火火木
㘿	土日土󰀝
鈃	釒一廾󰀢
概	木彐厶󰁜
允	厶儿󰀅
䅁	宀女禾󰁧
昿	日广厶󰁶
嘿	口󰀹土灬
䲸	人󰀯󰁟灬
䯒	󰀾月彳丁
寒	宀󰀀八󰁦
阿	阝丁口󰀝
㯒	木爫目儿
诒	讠厶口󰀝
錑	釒丶尸犬
毒	主母󰁧
篒	⺮人丶艮
㹸	犭󰁥白儿
乸	也母󰀦
幸	土䒑十󰀬
摿	扌人立日
㬒	日艹犬廾
发	ㄥ丿又丶
䏑	󰁝冂人人
瑿	匚𠂉大丶
葿	艹󰁅目󰀘
鑿	业䒑十金
菑	艹巛田󰀘
俿	亻虍几󰁀
堾	土三人日
㿿	乛󰁾皿󰀘
蠾	虫尸氺虫
頾	彡丆貝匕
栾	亠󰁗木󰁧
翿	士乛工羽
㭒	木󰃧󰀝
䎑	羽󰁭氺󰁶
厑	厂口匕󰁫
掑	扌󰀎八󰁶
筒	⺮冂一口
莑	艹夂三丨
鎑	釒土厶皿
埾	耳又土󰀘
骒	󰀊󰀞日木
㟾	山广󰁬丨
窒	宀八一土
扑	扌卜󰁶
蟾	虫⺈厂言
矾	石几丶󰁶
柾	木一止󰀝
难	又亻󰁷󰀝
鈑	釒⺁又󰁶
暾	日󰁸孑攵
爑	火艹亻灬
蹿	口止宀丨
嫒	女爫冖又
我	丿扌󰅅丶
㚾	女口儿󰁀
乿	爫幺小乚
陾	阝丆冂大
苑	艹夕⺋󰀅
稒	禾囗古󰀝
虾	虫一卜󰁶
百	丆日󰀘
䋑	糹一冂人
㨒	扌大土土
䙾	宀匕目儿
娒	女𠂉母󰁶
穒	禾󰁟灬󰁧
芑	艹己󰀅
銑	釒丿土儿
㩒	扌木木小
䊑	米⺌冂口
婒	女火火󰁶
橒	木󰀙二厶
遽	󰅋七一辶
社	礻󰁶土󰀝
聽	耳王十心
夾	大人人󰀦
恽	忄冖车󰀢
㤾	忄冖八木
䁽	目巛囗󰁒
煑	土丿曰火
慑	忄耳又又
兑	丷口儿󰀅
䅑	禾爫女󰀝
馒	⺈󰁐日又
腑	月广亻寸
邽	土土阝󰀢
肽	月大丶󰁶
炽	火口八󰁶
悽	忄一󰁬女
傽	亻立早󰀢
䂽	石󰀥早󰀢
㣾	忄又丶󰁶
㦒	忄罒言󰀝
槒	木亠幺田
㽿	疒⺁厶󰂃
䧒	阝木人人
儑	亻日幺灬
枾	木十󰀯一
瞾	目目宀工
轿	车丿大󰀯
鄑	一业日阝
㧒	扌宀八󰁶
㾿	疒丶󰁮阝
䇑	立白丿十
坾	土宀丁󰀢
懑	氵艹一心
睾	丿罒土十
褒	亠亻口󰀔
靾	廿󰀜廿󰄃
耽	耳冖󰁜󰁀
㤒	忄大十󰀢
䆑	宀八丁󰀬
奒	大亠ㄥ人
憑	冫󰀋灬心
熑	火䒑󰁬八
膑	月宀󰅍八
醑	西一乛月
樾	木土󰁾丶
煽	火丶尸羽
䨾	广丨三三
兽	丷田一口
腽	月日皿󰀝
騾	󰀋灬田小
逐	一󰀓辶󰀦
耐	丆冂〢寸
瀐	氵十戈󰀞
怐	忄勹口󰀝
㥒	忄爫木󰁶
㧾	扌勹󰁤心
秾	禾冖󰀔󰁶
槾	木曰罒又
冽	冫一夕刂
䧾	人干口󰁷
駾	󰀋灬丷儿
觾	⺈用廿灬
遐	󰁃丨二辶
砑	石󰀂亅丿
蠑	虫火火木
堑	车斤土󰀘
恐	工几丶心
䡑	車󰁂󰀁󰁀
㡑	禾火冂丨
碾	石尸󰁺󰀖
能	厶月匕匕
都	土丿日阝
㢾	弓覀土󰀝
䢾	丿土儿阝
墾	豸艮土󰀘
惽	忄󰁂󰀁日
邐	一冂丶辶
悐	犭󰁥火心
壑	󰀥冖一土
肐	月𠂉乙󰁀
炐	火三丨󰀢
㠑	山罒丨三
䁐	目艹ㄇ大
衾	人丶乛󰀔
焽	日月火󰁧
顾	厂⺋丆贝
䡾	車虍一犬
㡾	广艮󰀦
桾	木󰁬丿口
儽	亻田田小
鉽	釒󰀁工丶
笾	⺮力辶󰁧
艽	艹九󰀅
剽	覀二小刂
款	士二小人
㬾	匚𠂉大月
䬾	人良丷丿
墑	土亠丷古
惐	忄戈口󰀞
碑	石白丿十
胐	󰀼冫凵山
䂐	𠂉大凵山
㣑	广󰁬月彡
髾	󰂞彡⺌月
芽	艹󰀂亅丿
犽	犭󰁥󰀄丿
抽	扌由󰀝
劽	一夕刂力
靑	冂丨一
辒	车曰皿󰀝
睑	目人一一
村	木寸󰁶
㢑	广亻󰁷十
䢑	󰁚󰀁丶辶
蜑	丿󰀥󰄃虫
霑	󰀙氵󰀥口
朑	月廿󰄃󰁀
習	羽白󰀘
徒	彳土󰁾󰁶
侒	亻宀女󰀝
㾒	疒女口󰀌
㦾	丶尸也󰁫
䇽	⺮扌斤󰀬
妾	立女󰀘
榾	木󰀾月󰀝
燽	火士乛寸
覾	宀丿米儿
釽	釒⺁丨󰂃
缒	纟亻󰁃辶
柑	木艹二󰀝
鼒	󰀛丿目󰁈
輒	車耳乚󰁀
俒	亻宀二儿
忒	弋心丶󰀦
㥾	忄匚艹口
㿒	疒士乛寸
刽	人二厶刂
䈽	⺮廿口
爽	大乂乂乂
楾	木白水󰁶
鈽	釒冂丨
襾	一ㄇ凵󰀵
卼	一儿⺈⺋
䮽	󰀋灬󰁙灬
㮽	木丿󰁪又
枑	木一彑󰀝
罒	罒丨󰁈一
螑	虫丿目犬
鞑	廿󰀜大辶
㼒	⺁厶󰂃󰁤
埑	扌斤土󰀘
伒	亻斤󰀢
鍼	釒戊一口
荼	艹人一木
獼	犭󰁥弓乂
捼	扌禾女󰀝
䎼	耳󰁭氺󰁶
孽	艹亻󰁃子
虑	󰅋七心󰀦
癑	疒ㄇ󰁺󰀖
㽒	田力丿
佒	亻ㄇ大󰁶
垑	土夕夕󰁶
莼	艹纟一乚
鎼	釒虍手󰀢
掼	扌󰅂十贝
筽	⺮口一大
䬽	人良丷儿
㬽	月口口ㄅ
阑	门一󰀹󰅇
绒	纟戈ノ
蘑	艹广木石
溒	氵土口󰀔
噑	口白󰀪十
互	一󰅂一󰀌
㙑	丿口冂土
欽	釒⺈人󰁶
嬽	女罒丨大
苼	艹丿󰀘
狼	犭ノ丶󰀖
㫽	日󰁭氺󰁶
䌼	纟丷口儿
蛑	虫厶丿󰀟
监	〢𠂉丶皿
雑	九朩亻󰁷
廒	广主󰁡夂
滒	氵丁口口
㻒	王囗禾󰁶
䘑	丿皿丶󰀩
嫽	女大丷小
挼	扌爫女󰀝
竽	⺮一󰀛󰀬
茼	艹冂一口
皑	白山己󰁀
蚑	虫十又󰁶
隑	阝山一䒑
沽	氵古󰀝
岽	山󰀂小󰁧
䲽	石󰁟灬󰁶
㲽	氵刀丶󰁶
鲽	󰁢󰀞廿木
葼	艹乂凵夂
瑼	王一曰寸
丒	刀丶一󰀘
㸒	爫丿士󰀘
曑	曰曰曰彡
囑	口尸氺虫
镑	钅亠丷方
蕑	艹門月󰀘
咼	冂󰁈冂口
撼	扌厂一心
㒼	廿冂丨丶
䒼	艹ㄇ󰁺󰀘
钼	钅目󰀝
籽	米子󰀝
蒼	艹人丶口
㚑	彐大󰁧
乒	󰅍一丿󰁣
嚑	口丿一灬
湒	氵口耳󰀝
蔑	艹罒厂丶
鷒	一曰丨灬
㰽	匚日女人
叼	口𠃌󰀞󰀝
䏼	月戈戈󰁶
㶒	氵門󰀋灬
揼	扌石水󰁶
鏼	釒⺮木冂
菼	艹火火󰁧
畑	火田󰀝
涒	氵󰁬丿口
啑	口一󰁬󰁾
䕑	艹糹爫女
闑	門丿目木
藑	艹⺈ㄇ夂
㐼	亻丿廾󰀢
䯽	󰂞彡立口
寽	爫寸󰁧
毽	丿二乚廴
琼	王󰁸小󰁶
萼	艹口口ㄅ
鐼	釒十艹貝
淒	氵一󰁬女
甑	丷󰀺日丶
䔑	艹人一十
唑	口人人土
赒	贝󰀼土口
閑	門木󰀦
㶽	火口冂人
畼	田日一󰁤
涽	氵󰁚󰀁日
啼	口亠丷丨
䕼	艹廿口󰁷
镼	󰂞尸凵山
蕼	艹󰂞󰁬󰀟
㴒	氵亠󰁖廾
崒	山亠人十
䴒	󰀙口口灬
痑	疒夕夕󰀦
鐐	釒大丷小
㵽	氵田田田
浽	氵爫女󰀝
疼	疒夂󰁦󰀦
䖼	虫土厶卩
嵽	山廿儿丨
薼	艹󰁙󰁴土
鵽	又又又灬
㖑	口戈廾󰀢
䵒	禾人氺日
喑	口立日󰀝
浒	氵讠𠂉十
疑	匕𠂉大󰁾
瑐	王䒑月刂
谑	讠󰅋七一
呐	口冂人󰁶
民	󰁃󰁐弋󰁫
㑐	亻上小󰁶
䰑	󰂞彡󰀙〢
䴽	木人人十
㓼	木人氺刂
洽	氵人一口
哼	口󰁸了󰀢
蓼	艹羽人彡
瓼	一󰁐󰁊土
鴽	女口󰁟灬
钐	钅彡ノ
萐	艹一󰁬󰁾
籑	⺮目大艮
汑	氵丿七󰁀
吐	口土󰀝
䐐	月禾火󰁶
㱑	止夕󰁧
㳽	氵弓𠂉小
䔼	艹刀丶止
峽	山大人人
泽	氵又󰀟󰀢
甼	田丁󰀬
蔼	艹讠日󰄃
鳽	一廾󰁟灬
鑐	釒󰀙丆〢
哐	口匚王󰀝
擐	扌罒一󰀔
粑	米巴󰁀
貑	豸󰁃丨又
㲑	毛水󰀦
䓐	艹大一乚
霾	󰀙豸日土
眾	罒亻人人
軿	車䒑廾󰀢
廿	廿一丨一
滿	氵廿冂丶
㻿	王罒勹虫
仿	亻方ノ
撐	扌⺌冖丿
峑	山人王󰀘
蒐	艹白󰁜厶
糑	米弓冫冫
䒐	艹罒冖巴
㒐	亻⺮勹日
鼿	丿目田儿
蛾	虫丿扌丶
盾	⺁十目󰀌
曾	丷󰀺日󰀘
图	囗夂󰁦󰀦
伿	亻口八󰁶
㛾	女戊一口
鲑	󰁢󰀞土土
䬑	几丿虫月
嬑	女立曰心
㬑	日󰁸孑阝
荐	艹丨子
鍐	釒乂凵夂
捐	扌口月󰀝
獐	犭󰁥立早
㸽	牜貝󰁶
帽	冂丨曰目
䗼	虫丿一灬
痼	疒囗古󰀌
渽	氵十戈口
闼	门大辶󰀦
踽	口止丿丶
孑	孑乛亅󰀞
䭑	人良䒑八
㭑	木未󰁶
㨃	扌󰁸子󰀝
䉂	⺮田幺小
茐	艹勹󰁤󰂃
樃	木丶󰁮月
稃	禾爫子󰀝
艂	丿󰁪夂丨
騃	󰀋灬厶大
㘼	土土丿ㄅ
䘼	衤󰁧宀⺋
巽	巳巳󰁺八
淽	氵艹止󰀝
瘼	疒艹日大
跽	口止己心
阼	阝𠂉丨二
㮑	木丿十臼
䏐	月ユ人󰁶
叐	丿又󰀦
殑	一夕古儿
箑	⺮一󰁬󰁾
菐	业䒑夫󰁧
鏐	釒羽人彡
㞿	山土乂󰁧
弸	弓月月󰀝
伸	亻日丨󰀢
缸	󰅎山工󰀝
漸	氵車斤󰀢
鞿	廿󰀜幺人
螿	爿󰁝寸虫
㯑	木弓󰀍󰀖
寑	宀亻󰁬又
䎐	十早羽󰀝
篑	⺮口丨贝
掐	扌⺈臼󰀝
鎐	釒爫𠂉凵
莐	艹氵冖󰁜
㽸	疒冖󰁜󰁫
䝿	臼人貝󰁧
坿	土亻寸󰁶
潸	氵木木月
睿	󰀥冖一目
轸	车人彡ノ
靿	廿󰀜幺力
鉐	釒石󰀝
牐	丿丨一臼
艐	丿󰁪乂夂
剐	口冂人刂
樑	木氵刀木
㨑	扌乂凵夂
䉐	⺮車古󰀘
郾	匚日女阝
胾	十戈冂人
烾	火火土󰀘
椿	木三人日
僾	亻爫冖夂
䤿	釒三丨手
㤿	忄大日乚
驑	󰀋灬一田
舐	丿古󰁚弋
穑	禾十䒑口
橑	木大丷小
刐	󰀼亠刂󰀢
䈐	⺮忄火
㩑	扌一大三
鄾	丆󰀐冖阝
磿	厂禾禾石
脾	月白丿十
壿	士丷西寸
愾	忄气米󰁶
㣿	忄勹丶󰁶
䄾	禾戈󰁥
窑	宀八󰅎山
苐	艹弓丨丿
鋐	釒宀厶
㪑	大日󰁐又
䪑	󰁆口㐄匕
媑	女丿一土
檑	木󰀙田󰀝
隿	󰀁丶亻󰁷
暿	日士口口
嚿	口艹亻臼
蚿	虫亠幺󰁶
皿	皿丨󰁈一
䚿	言⺈人󰁶
㚿	女勹巳󰁀
芐	艹一卜󰁧
竑	立厶󰁶
髑	󰀾月罒虫
䊐	米日󰁴匕
㫑	日力󰁥
櫑	木田田田
劐	艹亻󰁷刂
陿	阝匚大人
噿	口羽亠十
晿	日曰曰󰀝
癿	白乚󰁀
虿	一󰁡虫󰁧
㙿	土丷王丶
䙿	未目儿󰁀
㤑	忄口󰀝
椑	木白丿十
煐	火艹ㄇ大
䅐	禾目儿󰁀
児	丨日儿󰀅
㐟	丨三丨乙
蔈	艹覀二小
腐	广亻寸人
酐	西一干󰀢
㬘	日󰁬十󰀲
閞	門厶廾󰀵
䄵	禾㐄󰀬
㔈	艹丨三刂
䔈	艹工貝󰁧
鄵	口口口阝
㯘	木士二人
㤟	ㄇ󰁺心󰁧
庸	广󰁬月丨
亸	󰁸孑丷十
㠿	止匕冂丨
㯟	木木󰁭氺
麸	主夕二人
蠿	󰁃幺幺虫
纸	纟󰁚弋󰁀
溸	氵幺小
㲵	气⺌月󰀌
㻫	王日艹󰀟
㗏	口丆卜止
㘞	囗力󰀏
㥑	丆󰀐冖心
㞶	山文󰁶
㬦	日艹亻又
㔮	廿口夫匕
焐	火五口󰀝
楑	木癶一大
契	三丨刀大
䥑	釒木人夕
镈	钅甫寸󰁶
㕧	口尸󰁥
鄐	亠幺田阝
脐	月文󰀯󰀢
㱟	一夕皮󰁶
䕈	艹爿廿木
郵	丿士󰁺阝
㡦	冂丨宀貝
㱉	业䒑未人
㲉	士冖一又
㘦	土力󰁥
㢥	冂一口丶
䀾	石又目󰀘
埿	氵尸匕土
㹧	犭󰁥ㄇ大
㻸	王󰀄󰁜日
耾	耳厶󰁶
逾	人一月辶
柿	木亠冂丨
矿	石广ノ
㐞	󰀎八乙󰀅
㽈	匕𠂉大丶
㞦	山几󰁀
𠂉	𠂉丿一
㑟	亻丘八󰁶
㢟	󰀥󰄃廴󰁫
㟨	山山丆〢
㦑	忄乛耳攵
䇐	立󰁬氺󰁶
凐	冫覀土󰀝
懐	忄亠罒󰀔
燐	火米夕㐄
臐	月丿一灬
㧿	扌人人󰁾
䆵	宀八丷日
㪥	虍󰀐󰀞又
兾	丷田󰁺八
䦿	阝口丨󰀢
煾	火囗大心
榿	木山一䒑
酾	西一一丶
腾	月䒑大一
䒈	丿󰁪十貝
憵	尸口辛心
㟟	山󰁺八⺋
㐜	一氺丶九
㤥	忄亠ㄥ人
㷘	火厶口木
䐤	月⺶工󰀝
䐥	月八厶羽
㱵	一夕十貝
䑤	丿󰁪人乛
㥟	忄彑󰀓󰁶
㪧	人一口又
焞	火󰁸子󰀝
䓤	艹勹󰁤心
㲥	广󰁬丨毛
䓈	艹彳几又
㧑	扌丶力丶
㓈	冫石󰀝
姑	女古󰀝
䆐	三八禾禾
熐	火冖日六
槑	口木口木
駑	女又󰀋灬
觑	󰅋七󰅊󰁜
㦿	丶尸木󰀦
㔟	丿九力
䥿	钅⺁一󰁡
奿	九丶女󰀌
楿	木禾日󰀝
熾	火亠丷日
西	西一丨一
饿	⺈󰁐丿丶
㧧	扌亠厶󰀸
䕯	艹覀二󰂃
㠧	山广木三
㸘	八乂罒丁
㡥	冂丨爫心
㫧	日米󰁧
䕟	艹󰀗ㄇ八
峮	山󰁬丿口
㜥	女罒貝󰁶
䙟	衤󰁧囗㐄
㕝	古又󰁧
興	󰀗ㄇ一八
萴	艹貝刂󰀬
爈	火虍田心
㣧	彳幺月乚
䛟	言大人人
㐴	亻夕󰁶
㺦	犭󰁥耳一
㼦	工几丶丶
㙦	人一朩土
